key,id
title,Panduan Pendataan Perikanan dan Komunitas
subtitle,Panduan singkat untuk kerangka kerja dan protokol pengumpulan data survei KoBoToolbox.
intro,Pengantar
p1,Panduan singkat ini memberikan panduan langkah demi langkah untuk mengumpulkan dan memvalidasi data perikanan dan komunitas melalui sistem. Panduan ini merangkum proses pengumpulan data dan menguraikan protokol untuk memperbarui file referensi dan tabel kontrol kualitas.
p2,"Kami mengembangkan empat formulir survei untuk mengumpulkan data tentang pendaratan perikanan dan komunitas nelayan. Deskripsi survei terperinci tersedia dalam panduan lengkap dalam terjemahan bahasa Inggris, Bahasa Indonesia, Cebuano, Prancis, Tagalog, Swahili, Malagasi, Spanyol, Portugis, dan Tetun."
p3,"Survei Pemantauan Pendaratan menangkap data minimum, idealnya setiap hari atau sesering mungkin, yang diperlukan untuk melacak tren jangka panjang dalam produksi perikanan, komposisi spesies, dan nilai tangkapan. Survei ini dapat membantu mengevaluasi dampak penutupan perikanan atau strategi pengelolaan lainnya dengan membandingkan data sebelum dan sesudah penerapan. Survei ini singkat dan mudah digunakan untuk memungkinkan pengumpulan data yang lebih sering dan konsisten."
p4,"Survei Profil Pendaratan mengumpulkan data perikanan terperinci tentang peralatan, upaya, dan ukuran individu ikan atau invertebrata di samping informasi khusus untuk kelompok spesies tertentu seperti jenis kelamin, kualitas tangkapan, data stilet, dan tingkat kematangan gonad. Kualitas tangkapan gurita meliputi cara penyimpanan, warna, jumlah tentakel, lecet fisik, kualitas paruh, dan kondisi kulit. Data stilet gurita meliputi contoh foto dan lingkar pertumbuhan. Data tingkat kematangan gonad memperhitungkan berat gonad, warna, stadium, panjang, dan penampakan garis pada kelenjar ovarium gurita betina. Data ini melengkapi data pemantauan pendaratan dan membantu mitra lebih memahami tren tangkapan yang diamati dalam produksi perikanan dan dampak pengelolaan perikanan. Survei ini dirancang untuk dilakukan pada awal keterlibatan dalam suatu komunitas dan selanjutnya dilakukan setiap satu hingga dua tahun, sebelum dan sesudah menerapkan strategi pengelolaan, atau sesuai kebutuhan untuk menjelaskan perubahan tangkapan yang diamati melalui data pemantauan."
p5,"Survei Profil Komunitas mengumpulkan pemahaman yang komprehensif tentang lanskap sosial-ekonomi dan perikanan suatu komunitas. Survei ini digunakan saat pertama kali terlibat dengan komunitas dan diulangi saat diperlukan untuk mendokumentasikan perubahan besar dalam perilaku penangkapan ikan, persepsi nelayan, dan pengelolaan sumber daya. Frekuensi survei akan bergantung pada ruang lingkup proyek (yaitu, kapan perubahan diharapkan terjadi)."
p6,"Survei Rumah Tangga Nelayan menangkap informasi rumah tangga nelayan yang terperinci, seperti persepsi tingkat rumah tangga tentang kegiatan yang berhubungan dengan penangkapan ikan, sumber pendapatan, kegiatan sehari-hari, spesies ikan utama yang ditangkap, ketergantungan pada ikan untuk makanan, dan kegiatan penangkapan ikan. Survei ini digunakan saat pertama kali terlibat dengan komunitas dan diulangi setiap dua hingga lima tahun atau setelah intervensi pengelolaan untuk mendokumentasikan perubahan perilaku penangkapan ikan, persepsi nelayan, efektivitas pengelolaan, ketahanan pangan, kepercayaan, dan kesetaraan gender."
steps,Langkah-langkah untuk Menggunakan Formulir KoBoToolbox
step1,Siapkan data referensi
1a,"Data referensi dapat diupdate melalui Smartsheet dan berisi informasi lengkap tentang tataran administrasi masyarakat nelayan (negara, provinsi, kabupaten / kota, desa/komunitas), lokasi pendaratan, nelayan, pembeli, pengumpul data, data spesies, wilayah pengelolaan, habitat.jenis, jenis roda gigi, dan organisasi mitra."
1b,Lembar data referensi digunakan untuk mengisi daftar tarik-turun dalam formulir survei KoBoToolbox dan menggabungkan data tambahan yang diperlukan untuk analisis seperti koordinat desa dan jenis kelamin nelayan.
1c,"Perbarui data referensi dengan spesies baru, nelayan, pembeli, lokasi pendaratan, desa, dll. yang dibutuhkan untuk pendataan di wilayah baru."
1d,Sangat penting bahwa file-file ini mutakhir agar pengumpulan dan analisis data dapat berjalan dengan lancar. File referensi diunggah ke kobo setiap 12-24 jam.
step2,Siapkan Akun KoBoToolbox
2a,Semua survei dikelola melalui penggunaan formulir KoBoToolbox. Setiap formulir survei dapat dibagikan dengan akun KoBoToolbox.
2b,Siapkan Akun Kobo Toolbox Anda di server umum di https://kf.kobotoolbox.org/accounts/signup/
2c,Hubungi tim dengan detail akun Kobo dan nama pengguna Anda agar formulir yang sesuai dapat dibagikan dengan akun Anda.
step3,Unduh Aplikasi KoboCollect.
3a,Formulir Kobo dapat diakses secara gratis melalui aplikasi ponsel Android KoboCollect atau melalui formulir web Enketo.
