key,sw
subtitle1,Maelezo ya Jumla juu ya Kutua
q1,Nchi
q2,Shirika
q3,Msimamizi 1 ametua
q4,Msimamizi 2 ametua
q5,Msimamizi 3 alitua
q6,Jina la anayechukua takwimu
a1,*Jina la mchukua takwimu mpya*
q7,Tarehe ya Kuwasili bandarini
subtitle2,Habari za mapato kwa kila mvuvi (Catch)
q8,Jina la mvuvi
a2,*Jina la mvuvi mpya*
q9,Jinsia ya mvuvi
q10,"Je, Mvuvi ni mkazi wa hapa/BMU hii?"
q11,Admin1 ambapo mvuvi anatoka:
q12,Admin 2 ambapo mvuvi anatoka:
q13,Admin 3 ambapo mvuvi anatoka:
q13.5,Je mvuvi anatambulika kuwa mwenyeji au mhamiaji?
a8.1,Mwenyeji
a8.2,Mhamiaji
q14,Idadi ya siku za kuvua (bila kujumuisha wakati wa kusafiri)
q15,Jina la bandari
a8.5,Jina la bandari mpya
q15.5,"Je samaki iliuzwa, na ikiwa iliuzwa ni kwa nani?"
q16,Jina la mnunuzi (ikiwa halijjulikana)
a9,*Jina la mnunuzi mpya*
q17,Jinsia ya mnunuzi
q18,"Je, samaki wanaorekodiwa, ni samaki wote kutoka kwenye mashua au ${fisher_id_label} sehemu ya pato lililovuliwa?"
subtitle3,Aina ya samaki zilizowasilishwa bandarini${fisher_id_label}
q19,Aina ya mapato
q20,"Jina la aina ya samaki kwa kiswahili (tumia kadi ya kumbukumbu ya aina ya samaki, ikiwa inahitajika)"
a12,Tafadhali bainisha aina tofauti ya samaki kama ni mchanganyiko (chagua aina tofauti)
a13,*Jina la Aina Mpya ya Samaki  (hayuko kwa orodha)*
q21,*Jina la kiingereza la aina mpya ya samaki (kama haliko kwa orodha)*
q22,*Jina la Kisayansi la samaki mpya (ikiwa haliko kwa orodha)*
q23,*Jina la Kisayansi la aina ya samaki Mpya (ikiwa linajulikana)*
q24,*Ongeza picha ya aina mpya.*
q25,Uzito wa mapato ya samaki (catch)
q26,Jumla ya uzito wa mapato ya samaki (${weight_unit}) ${local_name_label}: ${local_name_new}
q27,Jumla ya uzito wa samaki walouzwa (inakadiriwa au halisi) ${local_name_label}: ${local_name_new}
q27.1,Chagua mnunuzi/wanunuzi iliyouza kwake/kwao:
q28,Jumla ya idadi: ${local_name_label}
q29,Je unachakata pato lako?
q30,"Bei kwa jumla ya samaki waliouzwa, sarafu ya nchi  (iliyokadiriwa au halisi): ${local_name_label}"
q31,Sababu ya samaki kutonunuliwa/kuuzwa
a27,Ubora mbaya
a28,Ndogo sana
a29,Kubwa sana
a30,Imehifadhiwa kwa matumizi binafsi
a31,Nyingine
a14,kilo (kg)
a15,gramu (g)
a16,pauni (lbs)
a17,wakia (oz)
a3,Mwanaume
a4,Mwanamke
a5,Isiyo ya kawaida
a6,Biashara inayohusisha watu wa tabaka mbalimbali (bila kubagua jinsia)
a7,ndio
a8,la/hapana
a10,jumla ya pato
a11,Pato la mvuvi
a23,La/Hapana
a24,kukausha
a25,kutia chumvi
a26,Kukausha kwa moshi
a18,Yote
a19,kuuzwa ikiwa safi/baadhi imechakatwa
a20,Kutoa miba
a21,Mkia
a22,Pezi
a32,Matumizi ya binafsi
a33,Soko la nyumbani
a34,"Muuzaji (Mfanyabiashara, Middleman)"
a35,Kichakataji
a36,Soko la nje
a37,"Muuzaji wa reja reja (Duka kuu, Mkahawa)"
a38,"Mtumiaji (Rafiki, Jirani)"
a39,"Mnunuzi wa Taasisi (Serikali, NGO)"
star,Inatumika kwa washirika walioteuliwa au nchi pekee.
question,Swali
answer,Jibu Chaguo
