key,ceb
title,Pagpangisda Ug Sa Komunidad Data Collection Giya
subtitle,Usa ka dali nga giya alang sa kobotoolbox survey data collection framework ug mga protocol.
intro,Pasiuna
p1,Ang dali nga giya naghatag lakang-sa-lakang nga giya aron makolekta ug mapamatud-an ang mga pangisda ug datos sa komunidad pinaagi sa sistema. Kini nga giya nagsumaryo sa proseso sa pagkolekta sa datos ug naglatid sa mga protocol alang sa pag-update sa mga reference file ug mga lamesa sa pagkontrol sa kalidad.
p2,"Naghimo kami upat ka mga porma sa survey aron makolekta ang datos sa mga landings sa pangisda ug mga komunidad sa pangisda. Ang detalyado nga mga paghulagway sa survey anaa sa bug-os nga giya sa iningles, Bahasa Indonesian, Cebuano, French, Tagalog, Swahili, Malagasy, Spanish, Portuguese, Ug Tetun."
p3,"Nakuha sa Landings Monitoring Survey ang minimum nga datos, labing menos adlaw-adlaw o kanunay kutob sa mahimo, nga kinahanglan aron masundan ang mga dugay nga uso sa paghimo sa pangisda, komposisyon sa species, ug nakuha ang kantidad. Ang kini nga survey makatabang sa pagtimbang-timbang sa mga epekto sa pagsira sa pangisda o uban pang mga estratehiya sa pagdumala pinaagi sa pagtandi sa datos sa wala pa ug pagkahuman sa pagpatuman. Ang survey mao ang mubo ug user-friendly sa pagtugot sa alang sa mas kanunay ug makanunayon nga data collection."
p4,"Ang Survey sa Profiling Sa Landings nakolekta ang detalyado nga datos sa pangisda sa gamit, paningkamot, ug gidak-on sa indibidwal nga isda o invertebrates kauban ang espesyalista nga kasayuran alang sa piho nga mga grupo sa species sama sa sekso, nakuha ang kalidad, datos sa istilo, ug pagkahamtong sa itlog. Catch quality sa kugita naglakip sa storage mga pamaagi, kolor, tentacle gidaghanon, pisikal nga abrasions, beak kalidad, ug panit sa mga kahimtang. Ang datos sa istilo sa kugita naglakip sa mga sampol nga litrato ug sirkumperensiya sa pagtubo. Ang datos sa pagkahamtong sa itlog alang sa gibug-aton sa gonad, kolor, yugto, gitas-on, ug pagpakita sa linya sa mga glandula sa ovary sa mga babaye nga octopuses. Kini nga mga data katimbang sa landings monitoring data ug sa pagtabang sa mga kauban nga mas maayo nga makasabut obserbahan dakpon dagan sa produksyon sa pangisda ug sa mga epekto sa fisheries management. Ang survey gilaraw aron mahimo sa pagsugod sa pag-apil sa usa ka komunidad ug pagkahuman gihimo matag usa sa duha ka tuig, sa wala pa ug pagkahuman sa pagpatuman sa estratehiya sa pagdumala, o kung kinahanglan aron ipasabut ang mga pagbag-o sa nakuha nga naobserbahan pinaagi sa datos sa pag-monitor."
p5,"Ang Community Profiling Survey nagtigum sa usa ka komprehensibo nga pagsabut sa socio-economic ug fisheries talan-awon sa usa ka komunidad. Ang survey gigamit sa una nga pag-apil sa usa ka komunidad ug gisubli kung angay aron madokumento ang mga dagkong pagbag-o sa pamatasan sa pangisda, panan-aw sa pangisda, ug pagdumala sa kapanguhaan. Ang frequency sa Survey magdepende sa kasangkaran sa proyekto (ie, kung ang usa ka pagbag-o gilauman nga mahitabo)."
p6,"Nakuha sa Fisher Household Survey ang detalyado nga kasayuran sa panimalay sa mangingisda, sama sa pagsabut sa lebel sa panimalay sa mga kalihokan nga may kalabutan sa pangisda, gigikanan sa kita, adlaw-adlaw nga kalihokan, mga punoan nga species sa isda nga nakuha, nagsalig sa isda alang sa pagkaon, ug kalihokan sa pangisda. Ang survey gigamit sa una nga pag-apil sa usa ka komunidad ug gisubli matag duha hangtod lima ka tuig o pagkahuman sa mga interbensyon sa pagdumala aron madokumento ang mga pagbalhin sa pamatasan sa pangisda, panan-aw sa pangisda, pagka-epektibo sa pagdumala, seguridad sa pagkaon, pagsalig, ug equity sa gender."
steps,Mga lakang alang Sa Paggamit Sa Mga Porma Sa KoboToolbox
step1,Pag-andam sa pakisayran nga data
1a,"Ang datos sa pakisayran mahimong ma-update pinaagi Sa Smartsheet ug adunay sulud nga komprehensibo nga kasayuran sa lebel sa administratibo sa mga komunidad sa pangisda (nasud, lalawigan, distrito/munisipyo, baryo/komunidad), mga landing site, mangingisda, pumapalit, data collector, mga lugar sa pagdumala, mga tipo sa puy-anan, mga tipo sa gear, ug mga organisasyon sa pakigtambayayong."
1b,Ang mga sheet sa datos sa pakisayran gigamit aron mapuno ang mga lista sa dropdown sa mga porma sa survey sa kobotoolbox ug moapil sa dugang nga datos nga gikinahanglan alang sa pagtuki sama sa mga koordinasyon sa baryo ug gender sa pangisda.
