key,mg
subtitle1,Mahakasika ny seranana
q1,Firenena
q2,Fikambanana
q3,Faritany
q4,Kaominina
q5,Tanàna
q6,Mpangala antontan'isa
a1,*Mpangala antontan'isa vaovao*
q7,Daty
subtitle2,Mikasika ny vokatra
q8,Mpanjono
a2,*Mpanjono vaovao*
q9,Lahy sa vavy (mpanjono)
q10,Mipetraka eto ${admin3_label}?
q11,Avy aiza ny mpanjono: Faritany
q12,Avy avy aiza ny mpanjono: Kaominina
q13,Avy aiza ny mpanjono: Tanàna
q13.5,Mpiavy ve sa tompontany ilay mpanjono?
a8.1,Tompontany
a8.2,Mpiavy
q14,Andro niasana (tsy ampidirina ao ny isan'ny andro teny an-dakana)
q15,Toerana ahatongavan'ny vokatra
a8.5,*Toerana vaovao nahatongavan'ny vokatra*
q15.5,Navidy ve ilay vokatra? Raha eny dia navidy amin'iza?
q16,Mpividy (raha fantatra)
a9,*Mpividy vaovao*
q17,Lahy sa vavy (mpividy)
q18,Vokatra rehetra ve nolanjaina ${fisher_id_label} sa ny anjaranao ?
subtitle3,Karazana vokatra azo ${fisher_id_label}
q19,Karazana vokatra
q20,Karazana vokatra (ampiasao ny sary)
a12,Tanisao ny anaran'ireo karazana vokatra azo rehetra (afaka misafidy maro)
a13,*Karazana vokatra azo vaovao*
q21,*Anaran'ny karazana vokatra azo vaovao amin'ny teny anglisy* (raha fantatra)
q22,*Anaran'ny fianakaviamben'ny vokatra vaovao amin'ny teny siantifika* (raha fantatra)
q23,*Karazana vokatra vaovao azo amin'ny teny siantifika* (raha fantatra)
q24,*Ampidiro ny sarin'ny karazana vokatra vaovao azo*
q25,Fandanjana (Kilo sa grama)
q26,Lanjany totaly (${weight_unit}) ${local_name_label}: ${local_name_new}
q27,Lanjany totaly lafo ${local_name_label}: ${local_name_new}
q27.1,Safidio ny mpividy navidy tamin'i:
q28,Isany totaly ${local_name_label}
q29,Mbola hamboarina ve inty vokatra inty?
q30,Totaly vidiny lafo (Ariary): ${local_name_label}
q31,Antony tsy namarotana vokatra
a27,Ratsy kalitao
a28,Kely loatra
a29,Lehibe loatra
a30,Najanona tsy namidy
a31,Hafa
a14,Kilo (kg)
a15,Grama (g)
a16,kilao (lbs)
a17,ounces (oz)
a3,Lahy
a4,Vavy
a5,Tsy binary
a6,Orinasa ka tafiditra ao ny olona maromaro
a7,Eny
a8,Tsia
a10,Vokatra rehetra
a11,Anjaran'ny mpanjono
a23,Tsia
a24,Atao maina
a25,Atao sira
a26,Hasaly
a18,Izy rehetra
a19,Tsena/ampahany namboarina
a20,Nofony
a21,Rambony
a22,Ohiny
a32,Nohanina
a33,Tsena eny amin'ny tanàna
a34,Mpanangombokatra madinika
a35,Mpanodina vokatra
a36,Mpanondrana vokatra
a37,Mpividy vokatra antsinjarany (toerana fisakafoanana)
a38,"Mpihinana (namana, olona akaiky)"
a39,"Mpividy iraisam-pirenena (Governemanta, Fikambanana)"
star,Mihatra amin'ireo mpiara-miombon'antoka na firenena voatendry ihany.
question,Fanontaniana
answer,Valiny Safidy
