key,id
subtitle1,Informasi umum
q1,Negara
q2,Organisasi
q3,Provinsi pendaratan
q4,Kecamatan pendaratan
q5,Desa pendaratan
q6,Nama pendata
a1,*Nama pendata baru*
q7,Tanggal pendaratan
subtitle2,Informasi tangkapan oleh nelayan
q8,Nama nelayan
a2,*Nama nelayan baru*
q9,Jenis kelamin nelayan
q10,Apakah fisher tinggal di ${admin3_label}?
q11,Provinsi asal nelayan:
q12,Kecamatan asal nelayan:
q13,Desa asal nelayan:
q13.5,Apakah nelayan tersebut dianggap sebagai nelayan lokal atau migran?
a8.1,Lokal
a8.2,Migran
q14,Jumlah hari aktif melakukan penangkapan (tidak termasuk waktu perjalanan)
q15,Nama lokasi pendaratan
a8.5,Nama lokasi pendaratan baru
q15.5,"Apakah hasil tangkapan dijual dan jika iya, kepada siapa?"
q16,Nama pembeli (jika diketahui)
a9,Nama pembeli baru
q17,Jenis kelamin pembeli
q18,Apakah hasil tangkapan yang dicatat adalah semua hasil tangkapan dari perahu atau hanya sebagian tangkapan dari ${fisher_id_label}?
subtitle3,Spesies didaratkan oleh ${fisher_id_label}
q19,Jenis tangkapan
q20,"Nama lokal spesies (gunakan kartu referensi spesies, jika diperlukan)"
a12,Harap tentukan spesies dalam wadah yang tercampur (pilih kelipatan)
a13,*Nama lokal spesies baru*
q21,*Nama Inggris spesies (jika diketahui)*
q22,*Nama family spesies baru (jika diketahui)*
q23,*Nama ilmiah spesies baru (jika diketahui)*
q24,*Ambil foto spesies baru*
q25,Satuan (unit) berat hasil tangkapan
q26,Berat total yang didaratkan (${weight_unit}): ${local_name_label}
q27,Berat total terjual (perkiraan atau sebenarnya): ${local_name_label}
q27.1,Pilih pembeli yang menjadi tujuan penjualan:
q28,Jumlah total yang didaratkan (ekor): ${local_name_label}
q29,Apakah Anda mengolah tangkapan ini?
q30,Total harga tangkapan terjual (perkiraan atau sebenarnya): ${local_name_label}
q31,Alasan jumlah tangkapan tidak dibeli/tidak terjual
a27,Kualitas buruk
a28,Terlalu kecil
a29,Terlalu besar
a30,Disimpan untuk diri sendiri
a31,Lainnya
a14,kilogram (kg)
a15,gram (g)
a16,pon (lbs)
a17,ons (oz)
a3,Laki-laki
a4,Perempuan
a5,Non bineri
a6,Usaha yang terdiri dari beberapa orang (tanpa jenis kelamin)
a7,Ya
a8,Tidak
a10,Semua hasil tangkapan
a11,Sebagian hasil milik nelayan
a23,Tidak
a24,Kering
a25,Garam
a26,Asap
a18,Utuh
a19,Pasar bersih/Diproses sebagian
a20,Filet
a21,Ekor
a22,Sirip
a32,Konsumsi Pribadi
a33,Pasar Lokal
a34,"Dealer (Pedagang, Perantara)"
a35,Pengolahan (produk olahan)
a36,Eksportir
a37,"Pengecer (Supermarket, Restoran)"
a38,"Konsumen (Teman, Tetangga)"
a39,"Pembeli Institusional (Pemerintah, LSM)"
star,Hanya berlaku untuk mitra atau negara yang ditunjuk.
question,Pertanyaan
answer,Pilihan Jawaban
