key,tet
subtitle1,Informasaun Jeral
q1,Nasaun
q2,Organizasaun
q3,"Munisipiu ne'ebe peskador sira fila hosi peska, meti ka luku"
q4,"Aldeia ne'ebe peskador sira fila hosi peska, meti ka luku"
q5,"Bairo ne'ebe peskador sira fila hosi peska, meti ka luku"
q6,Naran Koletor Dadus
a1,*Naran foun koletor dadus*
q7,Data hatun ikan
subtitle2,Informasaun Peska husi Peskadór
q8,Peskador naran sá?
a2,*Naran Peskadór foun*
q9,*Peskador feto ka mane? (La presija husu hili deit)*
q10,Peskadór ne'e hela iha ${admin3_label}?
q11,Peskador husi Munísipiu ne'ebe:
q12,Peskador husi Suku ne'ebe:
q13,Peskador husi Aldeia/Bairo ne'ebe:
q13.5,Peskadór ne’e konsidera lokál ka migrante?
a8.1,Lokal
a8.2,Migrante
q14,Total loron ativu ba peska ka meti? (la inklui tempu viajen)
q15,Naran fatin hatun ikan ba
a8.5,Naran fatin foun hatun ikan ba
q15.5,"Ikan ne'ebe ita kaer faan ona ka? Karik loos, faan ba sé?"
q16,Naran sosa na'in (karik hatene)
a9,*Naran sosa na'in foun*
q17,Sosa na'in feto ka mane? (La presija husu hili deit)
q18,Ikan sira ne'e imi hotu nian ka balu fahe ona no ida ne'e ${fisher_id_label} nian deit?
subtitle3,Espésie ne'e hatun husi ${fisher_id_label}
q19,Tipu kapturasaun
q20,"Naran Lokál Ikan (uza kartaun referénsia espésie nian, karik presiza)"
a12,Favor espesífika espésie sira iha saku ne'ebe kahur malu (hili barak)
a13,*Naran lokál ikan foun*
q21,*Ikan foun ho Naran Ingles (karik hatene)*
q22,*Naran sientífiku ba família ikan foun(karik hatene)*
q23,*Naran sientífiku ba espésie ikan  foun (karik hatene)*
q24,*Hasai foto ikan foun.*
q25,Unidade todan husi ikan ne'ebe kaer
q26,Total todan ne'ebe hatun (${weight_unit}): ${local_name_label}
q27,Total todan ne'ebe fa'an ona (estimasaun ou atual): ${local_name_label}
q27.1,Hili sosa nain (sira) ne'ebé fa'an ba:
q28,Total ikan ne'ebe hatun (ekor): ${local_name_label}
q29,Ita halo prosesamentu ba ikan sira ne'e?
q30,"Total presu ikan ne'ebe fa'an ona, US Dollar (estimasaun ou atual): ${local_name_label}"
q31,Razaun totál ikan ne'ebe la sosa/la faan
a27,Kualidade la di'ak
a28,Ki'ik liu
a29,Bo'ot liu
a30,Rezerva ba aan de'it
a31,Seluk
a14,kilograma (kg)
a15,grama (g)
a16,pon (lbs)
a17,ons (oz)
a3,Mane
a4,Feto
a5,Non-binariu
a6,Negósiu ne'ebé kompostu husi ema barak (la'os jéneru)
a7,Loos
a8,La'e
a10,Ikan ne'e hotu-hotu nian
a11,Ikan ne'e fahe ona
a23,La'e
a24,Habai/hamaran
a25,Salga (hamaran ho masin)
a26,Tamun (hamaran ho ahi-suar)
a18,Tomak
a19,Hamoos ba merkadu / Prosesamentu oituan
a20,Koa sai ruin
a21,Koa sai ikun
a22,Koa sai liras/tilun (Ikan)
a32,Konsumu rasik
a33,Merkadu lokal
a34,Sosa nain/Penborong
a35,Prosesor
a36,Exportador
a37,"Fa'an nain (Supermerkadu, Restaurante)"
a38,"Konsumedor (Kolega, Vizinu)"
a39,"Sosa nain husi Institusaun (Governu, NGO)"
star,Aplika de'it ba parseiru ka nasaun sira ne'ebé deside ona.
question,Pergunta
answer,Hili resposta sira
