key,fil
title,Patnubay sa pangisdaan at pagkolekta ng data ng komunidad
subtitle,Isang mabilis na gabay para sa KoBoToolbox survey data collection frameworks at protocol.
intro,Panimula
p1,Ang mabilis na gabay ay nagbibigay ng sunud-sunod na patnubay upang mangolekta at mapatunayan ang mga pangisdaan at data ng komunidad sa pamamagitan ng system. Ang patnubay na ito ay nagbubuod sa proseso ng pagkolekta ng data at binabalangkas ang mga protocol para sa pag-update ng mga file ng sanggunian at mga talahanayan ng kontrol sa kalidad.
p2,"Bumuo kami ng apat na mga form ng survey upang mangolekta ng data sa mga landings ng pangisdaan at mga komunidad ng pangingisda. Detalyadong paglalarawan survey ay magagamit sa buong gabay sa Ingles, Bahasa Indonesian, Cebuano, Pranses, Tagalog, Swahili, Malagasy, Espanyol, Portuges, at Tetun."
p3,"Kinukuha ng survey ng pagsubaybay sa Landings ang minimum na data, perpektong araw-araw o nang madalas hangga ' t maaari, na kinakailangan upang subaybayan ang mga pangmatagalang uso sa paggawa ng pangisdaan, komposisyon ng species, at halaga ng catch. Ang survey na ito ay maaaring makatulong na suriin ang mga epekto ng pagsasara ng pangisdaan o iba pang mga diskarte sa pamamahala sa pamamagitan ng paghahambing ng data bago at pagkatapos ng pagpapatupad. Ang survey ay maikli at madaling gamitin upang payagan ang mas madalas at pare-pareho na koleksyon ng data."
p4,"Kinokolekta ng Landings Profiling Survey ang detalyadong data ng pangisdaan sa gear, pagsisikap, at laki ng mga indibidwal na isda o invertebrates kasama ang Dalubhasang Impormasyon para sa mga tukoy na pangkat ng species tulad ng kasarian, kalidad ng catch, data ng istilo, at pagkahinog ng itlog. Kabilang sa kalidad ng pulpo ang mga pamamaraan sa pag-iimbak, kulay, bilang ng mga tentakulo, pisikal na mga abrasion, kalidad ng panga, at mga kondisyon sa balat. Kasama sa data ng Octopus stylet ang mga sample na larawan at circumference ng paglago. Ang data ng pagkahinog ng itlog ay tumutukoy sa timbang ng gonad, kulay, yugto, haba, at mga paglitaw ng linya sa mga glandula ng ovary ng mga babaeng octopus. Ang mga datos na ito ay umaakma sa data ng pagsubaybay sa landings at tumutulong sa mga kasosyo na mas maunawaan ang mga sinusunod na mga uso sa catch sa paggawa ng pangisdaan at ang mga epekto ng pamamahala ng pangisdaan. Ang survey ay idinisenyo upang maisagawa sa simula ng paglahok sa isang pamayanan at kasunod na isinasagawa bawat isa hanggang dalawang taon, bago at pagkatapos ipatupad ang diskarte sa pamamahala, o kung kinakailangan upang ipaliwanag ang mga pagbabago sa catch na sinusunod sa pamamagitan ng data ng pagsubaybay."
p5,"Ang Community Profiling Survey ay nagtitipon ng isang komprehensibong pag-unawa sa socio-economic at fisheries landscape ng isang komunidad. Ang survey ay ginagamit kapag unang nakikipag-ugnayan sa isang komunidad at paulit-ulit kung naaangkop upang idokumento ang mga pangunahing pagbabago sa pag-uugali ng pangingisda, mga pananaw ng mangingisda, at pamamahala ng mapagkukunan. Ang dalas ng Survey ay depende sa saklaw ng proyekto (ibig sabihin, kapag inaasahang magaganap ang isang pagbabago)."
p6,"Kinukuha ng Fisher Household Survey ang detalyadong impormasyon sa sambahayan ng fisher, tulad ng mga pananaw sa antas ng sambahayan sa mga aktibidad na nauugnay sa pangingisda, mga mapagkukunan ng kita, pang-araw-araw na gawain, pangunahing mga species ng isda na nahuli, pag-asa sa isda para sa pagkain, at aktibidad sa pangingisda. Ang survey ay ginagamit kapag unang nakikipag-ugnayan sa isang komunidad at paulit-ulit tuwing dalawa hanggang limang taon o pagkatapos ng mga interbensyon sa pamamahala upang idokumento ang mga pagbabago sa pag-uugali ng pangingisda, pang-unawa ng mangingisda, pagiging epektibo ng pamamahala, seguridad sa pagkain, tiwala, at pagkakapantay-pantay ng kasarian."
steps,Mga hakbang para sa paggamit ng mga form ng KoboToolbox
step1,Maghanda ng data ng sanggunian
1a,"Ang data ng sanggunian ay maaaring ma-update sa pamamagitan ng Smartsheet at naglalaman ng komprehensibong impormasyon sa mga antas ng administratibo ng mga komunidad ng pangingisda (bansa, lalawigan, distrito/munisipalidad, nayon/komunidad), mga landing site, mangingisda, mamimili, kolektor ng data, data ng species, mga lugar ng pamamahala, mga uri ng tirahan, mga uri ng gear, at mga samahan ng pakikipagsosyo."
1b,Ang mga sheet ng data ng sanggunian ay ginagamit upang punan ang mga listahan ng dropdown sa mga form ng survey ng KoboToolBox at sumali sa karagdagang data na kinakailangan para sa pagsusuri tulad ng mga coordinate ng nayon at fisher gender.
1c,"I-Update ang data ng sanggunian sa mga bagong species, mangingisda, mamimili, landing site, nayon, atbp. iyon ay kinakailangan para sa pagkolekta ng data sa mga bagong lugar."
1d,Ito ay kritikal na ang mga file na ito ay napapanahon upang ang pagkolekta ng data at pagsusuri ay tumakbo nang maayos. Ang mga file ng sanggunian ay nai-upload sa kobo tuwing 12-24 na oras.
step2,I-Set up ang KoBoToolbox Account
2a,Ang lahat ng mga survey ay pinamamahalaan sa pamamagitan ng paggamit ng isang KoboToolBox form. Ang bawat isa sa mga form ng survey ay maaaring ibahagi sa isang KoBoToolbox account.
2b,I-Set up ang iyong Kobo Toolbox Account sa pangkalahatang server sa https://kf.kobotoolbox.org/accounts/signup/
2c,Mangyaring makipag-ugnay sa koponan ng gamit ang iyong mga detalye ng Kobo account at username upang maibahagi ang naaangkop na mga form sa iyong account.
step3,I-download ang Kobocollect App.
3a,Ang Kobo forms ay maaaring ma-access sa pamamagitan ng kobocollect free Android mobile phone app o sa pamamagitan ng Enketo web form.
step4,Mag-Load ng mga form sa Kobocollect App. Tingnan ang Kobo Setup para sa addtional guidance.
4a,"Kapag na-download ang app, i-set up ang URL ng server, Username, at Password, na kumokonekta sa iyong kobocollect app sa server ng KoboToolbox. Pinapayagan ka nitong mag-download ng mga naka-deploy na form mula sa KoboToolbox sa iyong mobile device at magpadala din ng data na nakolekta sa pamamagitan ng app pabalik sa server. Para sa URL, gamitin ang pangkalahatang URL ng server ng paggamit - https://kc.kobotoolbox.org."
4b,"Maaari mong ma-access ang ""mga setting ng proyekto"" sa pamamagitan ng pag-click sa icon sa kanang sulok sa itaas ng home screen."
4c,"Sa home screen, piliin ang "" I-download ang Form.”"
4d,"Ang isang listahan ng lahat ng iyong mga naka-deploy na form ng survey ay dapat lumitaw. Pindutin ang"" Piliin ang lahat "" upang maipadala ang lahat ng mga form ng survey sa app o piliin ang mga nais mong magkaroon sa pamamagitan ng pagpili ng mga ito nang manu-mano. Pagkatapos, i-click ang ""Pumili.”"
4e,"Mahalaga na ang mga survey ay regular na na-update upang matiyak na ang pinakabagong bersyon ng form ay ginagamit upang hindi maging sanhi ng mga isyu sa pipeline ng data. Habang ang webform ay awtomatikong na-update kapag ang isang bagong bersyon ng survey ay magagamit, ang mga gumagamit ay dapat i-configure ang ""auto-update"" sa app. Maaari kang mag-set up ng auto-update sa pamamagitan ng pagpunta sa ""mga setting"" at ""pamamahala ng Form""."
step5,Kolektahin ang data gamit ang KoBoToolbox survey forms
5a,"Kolektahin ang data sa pamamagitan ng pagpili ng ""magsimula ng bagong Form"" sa kobocollect app. Tingnan ang detalyadong mga tagubilin sa pagkolekta ng data gamit ang app sa Kobo Setup."
5b,"Sa pagtatapos ng survey, Piliin ang ""tapusin.""Kung nais mong i-edit ang form bago isumite, piliin ang ""I-Save bilang draft.""Kung pinili mo ang ""I-Save bilang draft,"" ipapadala ang iyong form sa ""mga draft.""Dito, maaari kang gumawa ng mga pag-edit sa mga form bago mo isumite ang mga ito sa panghuling dataset. Pagkatapos mong gumawa ng mga pagbabago, piliin ang ""i-Finalize,"" tulad ng nabanggit sa itaas. Matapos piliin ang"" tapusin, ""ang form ay awtomatikong nakaimbak sa ilalim ng"" handa nang ipadala.""Sa kasalukuyang bersyon ng Kobo, Maaari mo pa ring i-edit ang mga form dito. Sa hinaharap, gayunpaman, hindi ka makakapag-edit sa sandaling natapos na ang mga ito, at ang ""Handa nang ipadala"" ay magiging isang lugar na may hawak upang mag-imbak ng mga natapos na form hanggang sa magkaroon ka ng koneksyon sa internet upang maipadala ang mga ito sa server. Piliin ang"" Ipadala ang napili "" upang maipadala ang lahat ng mga form sa server."
5c,Ang data na nakolekta gamit ang app o web form ay malinis at maiimbak sa isang sentral na sistema ng imbakan ng data. Ang Raw data ay nai-back up sa database ng KoBoToolbox.
step6,Patunayan ang data sa Smartsheet
6a,Ang lahat ng data na dumadaloy sa sistema ng data ng pangisdaan ay napatunayan sa Smartsheet. Ang isang buong sunud-sunod na gabay sa pagtuturo para sa pagkumpleto ng prosesong ito ay matatagpuan sa pahina ng Pagpapatunay ng data.
6b,"Ang Data ay ipinadala para sa Pagpapatunay sa ilalim ng dalawang sitwasyon; 1) Ang mga bagong pangalan para sa isang mangingisda, mamimili, kolektor ng data o species ay manu-manong idinagdag sa Kobo Collect, o 2) Ang Isang numerikong halaga ay bumaba sa kabila ng mga itinatag na threshold. Ang mga entry na ito ay dapat na mapatunayan bago isama sa panghuling dataset, mailarawan sa dashboard, at idagdag sa mga sanggunian na file."
6c,Ang anumang mga bagong pangalan o naka-flag na data ay ipinadala sa talahanayan ng relevant quality control sa Smartsheet para ma-validate ng mga field team. Ang mga talahanayan ng kontrol sa kalidad ay partikular sa kasosyo at maaaring ma-access sa pamamagitan ng mga kahilingan sa pag-update na ipinadala sa iyong email o sa pamamagitan ng pagbisita sa mga link ng Dynamic View na ibinigay sa iyo. Ang mga lead ng Field team ay aabisuhan sa pamamagitan ng email kapag kailangang ma-validate ang data sa mga talahanayan.
6d,"Pagpapatunay ng mga bagong pangalan: kapag ang isang bagong pangalan ay ipinasok sa panahon ng pagkolekta ng data, ang mga entry na ito ay awtomatikong cross-referenced laban sa mga file ng sanggunian upang masuri kung ang mga bagong entry ay maaaring umiiral na sa mga file ng sanggunian, ngunit marahil ay naiiba ang spelling. Ang anumang katulad na umiiral na mga entry ay idadagdag sa talahanayan sa ilalim ng mga haligi na ""ref_match"". Team leads ay maaaring pagkatapos ay madaling i-verify kung ang ""bagong"" data ay sa katunayan na sa reference file. Ang mga lead ng koponan ay makumpleto ang haligi na ""validation_options"" sa bawat talahanayan sa pamamagitan ng pagpili ng alinman sa new_data, ang cross-referenced data entry mula sa reference file (ibig sabihin, isang ""ref_match""), iba pa, o alisin. Kung napili ang"" iba pa"", dapat kang magbigay ng isang pangalan sa haligi na"" iba pa"". Kung ito ay isang bagong lokal na pangalan ng species na kailangang mapatunayan, isang haligi na may larawan na kinunan sa panahon ng pagkolekta ng data ay ipagkakaloob para sa sanggunian."
6e,"Pagpapatunay ng mga numerong halaga na may mga babala sa threshold: para sa anumang mga naka-flag na entry ng data, makukumpleto ng mga lead ng koponan ang pagpapatunay ng data sa haligi na ""tama"" sa pamamagitan ng pagpili ng Y (Oo, tama ang mga halaga), N (hindi, hindi tama ang mga halaga), o alisin (hindi maaaring mapatunayan ang data Kung hindi napili, ang mga tamang halaga para sa numerator o denominator ay dapat na ipasok sa mga haligi na ""correct_numerator"" at ""correct_denominator""."
6f,"Kapag na-verify na ang data sa mga talahanayan ng pagpapatunay, maglalagay kami ng bagong impormasyon sa reference file at magbibigay ng mga kinakailangang pagwawasto sa master dataset."
step7,I-Update ang sheet ng pagsasalin
7a,Ang mga pagsasalin para sa lahat ng mga wika ay nakumpleto sa pamamagitan ng pag-edit ng naaangkop na mga sheet sa Smartsheet.
step8,I-Visualize at gamitin ang data
8a,Ang mga awtomatikong pagsusuri at visualization ay magagamit sa pamamagitan ng standardized dashboard. Magagamit din ang mga dataset sa pamamagitan ng pag-download sa dashboard o direktang link sa isa pang database.
p7,Mangyaring ipaalam sa amin kung mayroon kang anumang mga katanungan.
p8,Salamat!
