key,sw
title,Kusasisha Faili Za Kumbukumbu
p1,"Faili zote za marejeleo zimesasishwa katika Dyanamic view kwenye Smartsheet. Faili za marejeleo hutumika kama pembejeo za orodha za kuchagua katika fomu za KoboToolbox na zina takwimu ambayo imeongezwa kwenye seti kuu za takwimu kupitia viungo. Zina maelezo kamili kuhusu viwango vya utawala wa jamii za uvuvi (nchi, mkoa, wilaya, kijiji), maeneo ya kutua, eneo la uvuvi, wavuvi, wanunuzi, wakusanyaji takwimu, spishi, maeneo ya usimamizi, aina za nyenzo, na mashirika yanayoshirikiana. Hatua zifuatazo zinaelezea jinsi ya kusasisha faili za marejeleo kwa maelezo mapya. zinaelezea jinsi ya kusasisha faili za kumbukumbu na habari mpya."
step1,Hatua ya 1: Unda akaunti ya bure ya smartsheet.
point1,Akaunti ya bure inaweza kuundwa katika https://www.smartsheet.com/
point2,"Chagua ""Jaribu smartsheet kwa bure"""
step2,Hatua ya 2: Tafadhali mpe Blue Ventures (BV) anwani ya barua pepe uliyotumia kuunda akaunti yako ya Smartsheet.
point3,BV kisha itashiriki faili za kumbukumbu zinazohusiana na shirika lako.
point4,Ili kuona faili zako za kumbukumbu utahitaji kuingia kwenye smartsheet Dynamic View ukitumia habari zako za  kujiunga za smartsheet: https://dynamicview.smartsheet.com/login
point5,"Mara baada ya kuingia Kwenye Dynamic View (sio programu ya smartsheet), utaona orodha ya faili za kumbukumbu zilizoshirikishwa na akaunti yako (Kielelezo 1)."
fig1,Kielelezo 1: Orodha ya faili za kumbukumbu Katika Dynamic View
step3,Hatua ya 3: Bofya kwenye faili ya marejeleo ili kufanya masasisho
point6,"Mara baada ya kufunguliwa, unaweza kubofya kila safu ili kufanya mabadiliko kwenye takwimu iliyopo, au bonyeza kitufe cha ""Mpya"" kwenye kona ya juu kulia ili kuongeza takwimu mpya (Kielelezo 2)."
point7,"Jopo la maelezo litatokea upande wa kulia ambapo utaingiza taarifa zote muhimu (Kielelezo 3; Jedwali 1). Chagua ""hifadhi"" chini kulia ya jopo la maelezo ukisha maliza kusasisha."
point8,"Ili kuandika maoni au kuuliza timu maswali yoyote, chagua kitufe cha ""Maoni"" kwenye jopo la maelezo. Watu wote ambao faili ya kumbukumbu imeshirikishwa nao, ikiwemo timu ya BV, watapokea arafa pindi maoni yanapotolewa, kwa hivyo hakuna haja ya kuweka alama kwa mtu yeyote"
fig2,Kielelezo 2: Mfano mtazamo wa admin2_ref Katika Dyanamic view
fig3,Kielelezo 3: Mfano wa jopo la maelezo la admin2_ref katika Maoni ya Dynamic view
step4,"Hatua ya 4: Jibu maombi ya sasisho wakati takwimu haipo au sio sahihi, au kujibu maoni."
