key,pt
title,Orientações relativas à recolha de dados no domínio das Pescas e da Comunidade
subtitle,Um guia rápido para as estruturas e protocolos de recolha de dados do inquérito KoboToolBox.
intro,Introdução
p1,O Guia Rápido fornece orientações passo-a-passo para recolher e validar dados sobre a pesca e a comunidade através do sistema. Esta orientação resume o processo de recolha de dados e descreve os protocolos de actualização dos ficheiros de referência e dos quadros de controlo de qualidade.
p2,"O tribunal desenvolveu quatro formulários de inquérito para recolher dados sobre os desembarques de pesca e as comunidades piscatórias. As descrições detalhadas da pesquisa estão disponíveis no Guia Completo em Inglês, Bahasa Indonésio, Cebuano, Francês, Tagalo, Suaíli, Malgaxe, Espanhol, Português e Tetun."
p3,"O Inquérito de monitorização dos desembarques capta os dados mínimos, idealmente diários ou sempre que possível, necessários para acompanhar as tendências a longo prazo da produção pesqueira, da composição das espécies e do valor das capturas. Este inquérito pode ajudar a avaliar os efeitos dos encerramentos das pescas ou de outras estratégias de gestão, comparando dados antes e depois da execução. O inquérito é curto e fácil de utilizar para permitir uma recolha de dados mais frequente e coerente."
p4,"O Inquérito de perfis de desembarques recolhe dados pormenorizados sobre as artes de pesca, o esforço e a dimensão de peixes ou invertebrados individuais, juntamente com informações especializadas para grupos específicos de espécies, tais como sexo, qualidade das capturas, dados sobre estiletes e maturidade dos ovos. A qualidade da captura do polvo inclui métodos de armazenamento, Cor, Número de tentáculos, abrasões físicas, qualidade do bico e condições da pele. Os dados do estilete de polvo incluem fotos de amostras e circunferência de crescimento. Os dados de maturidade dos óvulos são responsáveis pelo peso das gónadas, cor, estádio, comprimento e aparecimento de linhas nas glândulas ovarianas dos polvos fêmeas. Estes dados complementam os dados de monitorização dos desembarques e ajudam os parceiros a compreender melhor as tendências das capturas observadas na produção pesqueira e os efeitos da Gestão das pescas. O inquérito foi concebido para ser realizado no início do envolvimento numa comunidade e, posteriormente, realizado de um a dois anos, antes e depois da aplicação da estratégia de gestão, ou conforme necessário para explicar as alterações das capturas observadas através de dados de monitorização."
p5,"O inquérito comunitário sobre o perfil reúne uma compreensão abrangente do panorama socioeconómico e das pescas de uma comunidade. O inquérito é utilizado quando se envolve pela primeira vez com uma comunidade e repetido quando apropriado para documentar grandes mudanças no comportamento da pesca, nas percepções dos Pescadores e na gestão dos recursos. A frequência do inquérito dependerá do âmbito do projecto (ou seja, quando se espera que ocorra uma alteração)."
p6,"O Inquérito às famílias de pescadores capta informações pormenorizadas sobre as famílias de pescadores, tais como a perceção a nível das famílias das actividades relacionadas com a pesca, as fontes de rendimento, as actividades diárias, As principais espécies de peixes capturadas, a dependência do peixe para alimentação e a actividade de pesca. A pesquisa é usada quando se envolve pela primeira vez com uma comunidade e repetida a cada dois a cinco anos ou após intervenções de gestão para documentar mudanças no comportamento da pesca, percepções dos Pescadores, eficácia da Gestão, Segurança Alimentar, confiança e equidade de gênero."
steps,Passos para utilizar formulários KoboToolbox
step1,Preparar dados de referência
1a,"Os dados de referência podem ser atualizados através do Smartsheet e contêm informações abrangentes sobre os níveis administrativos das comunidades piscatórias (País, Província, Distrito/município, aldeia/comunidade), locais de desembarque, pescadores, compradores, coletores de dados, dados de espécies, áreas de gestão, tipos de habitat, tipos de artes e organizações parceiras."
1b,"As folhas de dados de referência são utilizadas para preencher listas suspensas nos formulários de inquérito do KoboToolBox e juntar dados adicionais necessários para a análise, como as coordenadas da aldeia e o género do pescador."
1c,"Actualizar os dados de referência com novas espécies, pescadores, compradores, locais de desembarque, aldeias, etc. que são necessários para a recolha de dados em novas áreas."
1d,É fundamental que estes ficheiros estejam actualizados para que a recolha e a análise dos dados funcionem sem problemas. Os ficheiros de referência são enviados para a kobo a cada 12-24 horas.
step2,Configurar a conta KoboToolbox
2a,Todos os inquéritos são administrados através da utilização de um formulário KoboToolBox. Cada um dos formulários de inquérito pode ser partilhado com uma conta KoboToolBox.
2b,Configure a sua conta Kobo Toolbox no servidor geral em https://kf.kobotoolbox.org/accounts/signup/
2c,Contacte a equipa com os dados da sua conta Kobo e o seu nome de utilizador para que os formulários apropriados possam ser partilhados com a sua conta.
step3,Descarregue a aplicação KoboCollect.
3a,Os formulários Kobo podem ser acedidos através da aplicação móvel KoboCollect free para Android ou através do formulário Web Enketo.
step4,Carregar formulários na aplicação KoboCollect. Consulte a configuração da Kobo para obter orientações adicionais.
4a,"Depois de transferir a aplicação, configure o URL do servidor, o nome de Utilizador e a palavra-passe, que liga a aplicação KoboCollect ao servidor KoboToolbox. Isso permite que você baixe formulários implantados do KoboToolbox para o seu dispositivo móvel e também envie os dados coletados através do aplicativo de volta ao servidor. Para a URL, use a URL do servidor de uso geral - https://kc.kobotoolbox.org."
4b,"Você pode acessar ""configurações do projeto"" clicando no ícone no canto superior direito da tela inicial."
4c,"Na tela inicial, selecione "" Baixar formulário.”"
4d,"Uma lista de todos os seus formulários de pesquisa implantados deve aparecer. Pressione ""Selecionar tudo"" para que todos os formulários de pesquisa sejam enviados para o aplicativo ou selecione os que deseja, selecionando-os manualmente. Em seguida, clique em "" obter selecionado.”"
4e,"É importante que os inquéritos sejam actualizados regularmente para garantir que a versão mais recente do formulário está a ser utilizada de modo a não causar problemas no pipeline de dados. Embora o formulário Web seja atualizado automaticamente quando uma nova versão do questionário estiver disponível, os usuários devem configurar a ""atualização automática"" no aplicativo. Você pode configurar a atualização automática acessando ""Configurações""e"" gerenciamento de formulários""."
step5,Recolha de dados com os formulários de inquérito KoboToolBox
5a,"Recolha dados seleccionando"" Iniciar novo formulário "" na aplicação KoboCollect. Ver instruções pormenorizadas sobre a recolha de dados utilizando a aplicação na configuração Kobo."
