key,sw
title,Mwongozo wa ukusanyaji wa takwimu za uvuvi and jamii
subtitle,Mwongozo wa haraka kuhusu mifumo na itifaki za utafiti wa kukusanya takwimu kutumia koboToolbox
intro,Utangulizi
p1,Mwongozo wa haraka hutoa mwongozo wa hatua kwa hatua wa kukusanya na kuthibitisha takwimu za uvuvi na jamii kupitia mfumo. Mwongozo huu unatoa muhtasari wa mchakato wa ukusanyaji wa data na unaelezea taratibu za kuongeza faili za kumbukumbu na udhibiti wa ubora kwenye majedwali.
p2,"Tuliandaa fomu nne za utafiti ili kukusanya data juu ya uvuvi na jamii za wavuvi. Maelezo ya kina ya utafiti yanapatikana katika mwongozo kamili kwa lugha ya Kiingereza, Bahasa Indonesia, Cebuano, Kifaransa, Kitagalogi, Kiswahili, Kimalagasi, Kihispania, Kireno, na Tetun."
p3,"Utafiti wa Ufuatiliaji wa Kutuai unakusanya takwimu za chini kabisa, ikiwezekana kila siku au mara nyingi iwezekanavyo, zinazohitajika kufuatilia mwelekeo wa muda mrefu katika uzalishaji wa uvuvi/mavuvi, muundo wa spishi, na thamani ya samaki waliovuliwa. Utafiti huu unaweza kusaidia kutathmini athari za kufunga maeneo ya uvuvi au mikakati mingine ya usimamizi kwa kulinganisha takwimu kabla na baada ya utekelezaji. Fomu hii ni mfupi na rahisi kutumia ili kuruhusu ukusanyaji wa takwimu mara kwa mara na thabiti zaidi."
p4,"Utafiti wa Profaili za kutua unakusanya takwimu za kina za uvuvi kuhusu zana, jitihada, na ukubwa wa samaki mmoja mmoja au viumbe vingine pamoja na taarifa maalum kwa makundi ya spishi maalum kama vile jinsia, ubora wa samaki waliovuliwa, takwimu za stylet, na ukomavu wa mayai. Ubora wa pweza waliovuliwa unajumuisha mbinu za kuhifadhi, rangi, idadi ya miale/miguu, mikwaruzo ya mwili, ubora wa mdomo, na hali ya ngozi. Takwimu za stylet ya pweza pweza zinajumuisha picha za sampuli na kipenyo cha ukuaji. Takwimu za ukomavu wa mayai zinazingatia uzito wa gonadi, rangi, hatua, urefu, na mwonekano wa mistari katika tezi za ovari za pweza wa kike. Utafiti huu unakamilisha takwimu  za ufuatiliaji wa utuaji na kusaidia washirika kuelewa vizuri mwelekeo wa samaki waliovuliwa katika uzalishaji wa uvuvi na matokeo za usimamizi wa uvuvi. Utafiti huu unafaa kufanywa mwanzoni mwa ushirikiano katika jamii na kufuatilia kila baada ya mwaka mmoja hadi miwili, kabla na baada ya kutekeleza mkakati wa usimamizi, au inavyohitajika ili kueleza mabadiliko katika samaki waliovuliwa kupitia takwimu za ufuatiliaji."
p5,"Utafiti wa Kuprofaili Jamii unakusanya uelewa wa kina wa mandhari ya kijamii na kiuchumi pamoja na uvuvi wa jamii. Utafiti huu hutumiwa wakati wa kwanza kushirikiana na jamii na kurudiwa inapofaa ili kuandika mabadiliko makubwa katika tabia za uvuvi, mitazamo ya wavuvi, na usimamizi wa rasilimali. Mara ya kufanya utafiti itategemea ukubwa wa mradi (kwa mfano, wakati mabadiliko yanatarajiwa kutokea)."
p6,"Utafiti wa Kaya za Wavuvi hukusanya taarifa za kina za kaya za wavuvi, kama vile mitazamo ya kaya kuhusu shughuli zinazohusiana na uvuvi, vyanzo vya mapato, shughuli za kila siku, aina kuu za samaki wanaovuliwa, utegemezi wa samaki kwa chakula, na shughuli za uvuvi. Utafiti huu hutumiwa wakati wa kwanza kushirikiana na jamii na hurudiwa kila baada ya miaka miwili hadi mitano au baada ya kuingilia kati kwa usimamizi ili kuandika mabadiliko katika tabia za uvuvi, mitazamo ya wavuvi, ufanisi wa usimamizi, usalama wa chakula, uaminifu, na usawa wa kijinsia."
steps,Hatua Za Kutumia Fomu Za KoboToolbox
