key,sw
title,Mwongozo Wa Ukusanyaji Wa Takwimu Za Uvuvi
subtitle,Mwongozo wa kusimamia/kufanya tafiti ili kupata takwimu za uvuvi
intro,Utangulizi
p1,"Nakala hii inatoa mwongozo na mapendekezo kwa ajili ya kusimamia fomu tatu za utafiti ili kukusanya taarifa kuhusu jamii za uvuvi na uvuvi wanaotegemea (Mchoro 1). Fomu hizi zilibuniwa/zilitengenezwa ili kuendana na jinsi takwimu zitakavyotumika na mabadiliko yanayotarajiwa mara kwa mara. Utafiti wa juu zaidi, Utafiti wa Kijamii, una maswali yanayosaidia kujenga uelewa bora wa shughuli za uvuvi katika jamii na hali za kiuchumi. Kuelewa hali ya kiuchumi ni muhimu sana wakati kazi inaanza kwa mara ya kwanza katika jamii. Taarifa zinazokusanywa wakati wa utafiti huu ni muhimu kwa kubuni mikakati ya jinsi ya kushirikisha jamii na mipango ya kuchukuwa sampuli za takwimu. Tafiti za Ufuatiliaji wa Kutua na Ufuatiliaji wa Uvuvi hukusanya takwimu kuhusu samaki wanaotua na uvuvi. Takwimu ya kuprofaili Ufuatiliaji wa Kutua hukusanywa kwa nadra na hutoa taarifa kuhusu makazi ya samaki, aina ya vifaa/zana, jitihada, na urefu binafsi wa samaki. Utafiti wa Ufuatiliaji wa Uvuvi, ambao unapaswa kufanyika kila siku, ni utafiti wa haraka wa uvuvi unaokusanya kiwango kidogo cha taarifa zinazohitajika kufuatilia mabadiliko ya kiasi na thamani ya samaki, kama vile aina, uzito, idadi na bei."
fig1,Mchoro 1: Ratiba Ya wakati wa kusimamia/kufanya fomu tatu tofauti za uchunguzi kwa kiwango cha mwaka mmoja.
survey,Maelezo Ya Utafiti
cps,Utafiti Wa Profaili Ya Jamii
goal,Lengo
p2,Elewa mandhari ya jumla ya jamii na uvuvi unaofanyika ndani ya jamii
dc,Takwimu Zilizokusanywa
point1,"Idadi ya wanajamii, wavuvi, wafanyabiashara wa samaki, wanawake"
point2,Mandhari/mazingira ya jumla ya uvuvi unaofanyika ndani ya jamii
point3,Zana/nyenzo zinazotumika; aina samaki zinazolengwa; makazi ya samaki; misimu; vyombo
point4,Habari juu ya juhudi za uvuvi na gharama
point5,"Maoni/mitazamo juu ya uvuvi na hali ya makazi, vitisho/tishio"
point6,Taarifa kuhusu usimamizi/sheria za sasa za uvuvi
point7,"Tambua (kupitia ramani) ya maeneo muhimu ya uvuvi, makazi, maeneo ya kutua"
ta,Kundi lengwa
p3,"10-20 watoa habari muhimu ndani ya jamii, yaani, viongozi wa jamii, wavuvi wanaoheshimiwa, wafanyabiashara wa samaki, na wanawake."
ft,Mara na Wakati
p4,"Wakati kazi inaanza katika jamii mpya ya uvuvi, kufanya Utafiti wa kuprofaili jamii na zoezi la awali la utambuzi hutoa takwimu za msingi na taarifa husika za kubuni juhudi za uhifadhi na usimamizi zinazofaa zaidi kwa jamii hiyo. Kurudia Utafiti huu unaweza kusaidia kuandika mabadiliko makubwa yanayotokea kwa muda."
method,Mbinu
p5,"Taarifa zinaweza kukusanywa kupitia tafiti za wahusika tofauti (kwa mfano, sensa, rekodi za idara ya uvuvi, n.k.), vikundi vya majadiliano vinavyoundwa na wanajamii muhimu 10-20 au watoa taarifa muhimu. Viongozi wa jamii pamoja na wavuvi mbalimbali na wafanyabiashara wa samaki wenye ujuzi na anuwai (ikiwemo wanawake na vijana) ndio washiriki bora wa kujumuishwa katika kikundi majadiliano/mahojiano. Katika kuwezesha vikundi vya majadiliano, inashauriwa kuwa na, angalau, kiongozi wa majadaliano na mwandishi wa majadiliano. Katika kikundi cha majadiliano, pia inashauriwa washiriki kutoa orodha ya/mawasiliano ya wavuvi katika jamii ambao wanaweza kuwasiliana nao ili kufanya Tafiti za Kaya. Ikiwa haiwezekani kufanya Utafiti wa Kijamii katika mfumo wa kikundi cha majadiliano/mahojiano, njia mbadala ni kufanya maswali hayo hayo kama tafiti za mtu binafsi na watoa taarifa muhimu na kujumuisha majibu. Maswali yanayojumuishwa katika utafiti wa kijamii na mapendekezo ya kufanya majadiliano ya vikundi yanaweza kupatikana katika Kiambatisho hapa chini."
lms,Utafiti wa Ufuatiliaji wa Kutua
p6,"Kukusanya taarifa muhimu zinazohitajika kuhesabu viashiria rahisi vya afya ya uvuvi kulingana na urefu na kufuatilia mabadiliko katika uzalishaji wa uvuvi, thamani, na muundo wake."
point8,Tarehe imefika/imetua
point9,Mahali pa kutua
point10,Jina la mfanyabiashara wa samaki
point11,Jina la Mvuvi
point12,Jitihada za uvuvi (siku za uvuvi/wavunaji)
point13,"Utambulisho wa spishi (majina ya kawaida, ya kawaida, ya kisayansi)"
point14,Jumla ya hesabu
point15,Jumla ya uzito
point16,Jumla ya bei
point17,"Sababu jumla ya pato halikuuzwa, kama inawezekana"
p7,Wavuvi wanapotua samaki wao au kwenye nyumba ya wanunuzi wa samaki/soko.
p8,"Utafiti wa Ufuatiliaji wa Kutua unapaswa kufanywa kila siku au mara nyingi iwezekanavyo. Fanya Utafiti wa Ufuatiliaji wa Kutua kabla na baada ya utekelezaji ili kutathmini athari za kufunga eneo/maeneo ya uvuvi au mikakati mingine ya usimamizi. Tunapendekeza kukusanya data siku 30 kabla na baada ya kipindi cha kufungwa cha muda. Katika siku saba za mwanzo za vya kuchukuwa sampuli, tunapendekeza wachukuwa takwimu kufanya Utafiti wa Ufuatiliaji wa Kutua kila siku. Ikiwezekana, endelea na ufuatiliaji wa kila siku kwa kipindi cha siku 30 nzima. Ikiwa hii haiwezekani, fanya utafiti angalau 80% ya siku ndani ya kila siku 30. Pia tunapendekeza kufanya utafiti wa angalau 80% au zaidi ya wavuvi wote wanaotua samaki siku fulani kabla au baada ya kufungwa. Gawa kwa usawa wanaosaidia katika utafiti kati ya wavuvi wa mashua na wasio wa mashua. Kusanya takwimu kutoka kwa wavuvi wote wanaotua katika kijiji, bila kujali ikiwa walikuwa wanavua ndani ya eneo lililofungwa au la"
p9,"Kwa ajili ya kufunga kwa muda mrefu, hakikisha kwamba takwimu inakusanywa wakati wa mwezi uleule kila mwaka ili kuona mabadiliko katika kipindi cha kufungwa. Ikiwa hilo halitawezekana, tunapendekeza kukusanya takwimu wakati wa mwezi uleule kabla na baada ya kufungwa. Kama ilivyotajwa hapo juu, tunapendekeza kufanya utafiti angalau 80% ya siku ndani ya mwezi na 80% ya wavuvi wanaopatua samaki kila siku"
p10,"Kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua/nyumba za wanunuzi kurekodi mapato yao."
lps,Utafiti wa Profaili ya Kutua
p11,Kuelewa mwelekeo wa mapato ya samaki waliorekodiwa.
point18,Tarehe imefika/imetua
point19,Mahali pa kutua
point20,Maeneo Msingi ya uvuvi
point21,Jina la mfanyabiashara wa samaki
point22,Jina la Fisher
point23,Jitihada za uvuvi (masaa na siku za uvuvi/kuvuna)
point24,"Aina ya chombo (nambari ya usajili ya chombo, nambari ya wafanyakazi)"
point25,"Utambulisho wa spishi (majina ya kawaida, ya kawaida, ya kisayansi)"
point26,Zana/nyenzo iliyotumika
point27,Mazingira ya uvuvi
point28,Jumla ya hesabu
point29,Jumla ya uzito
point30,Jumla ya bei
point31,"Sababu pato lote la samaki halikuuzwa, kama inawezekana"
point32,Sampuli za uzito na urefu binafsi (Mchoro 2-8)
point33,"Takwimu ya sampuli maalum ya shirika (jinsia, ubora wa pato, gonads, stylet, # mitego, nk.)"
p12,"Sampuli ya uwakilishi wa mapato ndani ya jamii. Rekodi angalau sampuli 50 (ikiwezekana sampuli 100) kwa kila spishi lengwa, ikiwakilisha aina mbalimbali za zana na profaili za wavuvi"
p13,"Utafiti huu unapaswa kufanyika mwanzoni mwa ushiriki katika jamii na baadaye kufanywa kila baada ya miaka miwili, kabla na baada ya kutekeleza mkakati wa usimamizi, au kama inahitajika kuelezea kupungua kwa kuchunguza kupitia data ya ufuatiliaji. Kwa kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua ili kuchukua sampuli ya samaki wao na kurekodi shughuli zao za uvuvi."
p14,"Kwa kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua ili kuchukua sampuli ya samaki wao na kurekodi shughuli zao za uvuvi."
ms,Usawasishaji wa kipimo: Aina Ya Urefu wa kupima kwa kikundi cha spishi
fig2,"Kielezo 2: Urefu wa jumla unapaswa kutumika kupima samaki wa mapezi, papa na mikunga (AFS)."
fig3,Kielelezo 3: Upana wa diski unapaswa kutumika kupima taa na sketi
fig4,"Kielelezo 4: Upana wa gamba unapaswa kutumika wakati wa kupima kaa (Suryandari et. al, 2018)."
fig5,Kielelezo 5: Urefu Wa Vazi unapaswa kutumika wakati wa kupima pweza na ngisi (FAO).
fig6,Kielelezo 6: urefu Wa Gamba unapaswa kutumika wakati wa kupima kamba na kamba mawe (Hart et al. 2001).
fig7,Kielelezo 7: Urefu unapaswa kutumika wakati wa kupima samakigamba na konokono.
fig8,Kielelezo 8: Urefu wa jumla unapaswa kutumika wakati wa kupima jongoo. Upana au kipenyo cha gamba kinapaswa kutumika wakati wa kupima mapoe
dfo,Muhtasari Wa Mtiririko Wa Takwimu
p15,"Ukusanyaji wa takwimu, uthibitishaji, mabadiliko, na muonekano/taswira ni vipengele vinne vikuu vya mfumo wa takwimu. Programu kuu zinazotumika ni KoboToolBox, Smartsheet, PostgreSQL, na R."
p16,"KoboToolBox ni programu huru na ya chanzo huria ambayo ni zana yenye nguvu kwa ukusanyaji wa takwimu inayopatikana kupitia mazingira magumu na majukwaa mengi, kama vile rununu, tarakilishi, na karatasi. Wakusanyaji takwimu hukusanya data kuhusu hali za kijamii na kiikolojia muhimu kwa kutathmini jamii za wavuvi na hali kupitia maswali ya uchunguzi ya kwenye KoboToolBox. Smartsheet ni jukwaa la usimamizi wa kazi kwa kushirikiana ambalo hutoa njia rahisi na angavu kwa mashirika kupanga, kufuatilia, kuendesha kiotomatiki, na kusimamia miradi na michakato mbalimbali kwa wakati halisi. Faili za marejeleo/kumbukumbu zinazotumika kujaza fomu za uchunguzi na kuunganisha takwimu za ziada kwenye seti kuu za data zinafanyika katika Smartsheet. Zaidi ya hayo, data inathibitishwa katika Smartsheet. PostgreSQL ni mfumo wa usimamizi wa hifadhidata wa bure unaotumika kama ghala la takwimu kwa programu nyingi za tuvuti, uchambuzi, na geospatial huku ukihifadhi data isiyosafishwa na iliyosafishwa katika sehemu moja. R ni mazingira ya programu ya chanzo na lugha ya programu inayotumika sana kwa sayansi ya takwimu, hesabu za takwimu, na taswira/muonekano wa takwimu. Dashibodi za takwimu zinajengwa kwa kutumia kifurushi cha Shiny kutoka lugha ya programu ya R na kuhifadhiwa kwenye shinyapps.io, jukwaa kama huduma (PaaS) kwa ajili ya kuweka programu za wavuti za Shiny"
fig9,Kielelezo 9: Mchoro Wa Mtiririko Wa Takwimu
p17,"Ukusanyaji wa data unahusisha kukusanya na kupima taarifa kutoka kwa vyanzo husika kuhusu vipengele vinavyovutia kwa ajili ya kufanya maamuzi, upangaji wa mikakati, tathmini za matokeo, na madhumuni mengine. Kwa kuingiza data za kiasi na za ubora kwenye maswali ya uchunguzi, tunakuza uelewa wa kina wa hali ya kiuchumi na ikolojia inayohusishwa na jumuiya za wavuvi na kubadilisha mikakati ya usimamizi. Uthibitishaji wa takwimu unarejelea matumizi ya mbinu za kupima hali ya takwimu iliyokusanywa na kuamua ikiwa takwimu iliyokusanywa inakidhi vigezo vya ubora vilivyobainishwa, kama vile usahihi, uthabiti, umuhimu, ukamilifu, na upekee. Ubadilishaji wa takwimu hubadilisha, kusafisha, na kupanga takwimu katika muundo unaoweza kutumika kuchambuliwa na kutathminiwa kwa ajili ya kufanya maamuzi. Uchambuzi na taswira ya takwimu inahusisha kubuni na kuunda michoro inayopatikana au maonyesho ya taarifa kwa ufanisi ili kuwasilisha takwimu za kiasi na ubora changamano zilizokusanywa, kuthibitishwa, na kubadilishwa hapo awali kwa hadhira lengwa. Tumeielezea mchakato wa mtiririko wa data hapa chini:"
step1,Takwimu hukusanywa kupitia fomu Za utafiti kwa KoboToolBox.
step2,Takwimu huvutwa kwenye hifadhidata
step3,"Ikiwa mkusanya takwimu alichagua majibu yaliyotangulia kujazwa katika uchunguzi, data haihitaji kuthibitishwa na inaweza kwenda moja kwa moja kwenye mchakato wa uchambuzi na taswira ya takwimu"
step4,"Mkusanya takwimu akiongeza takwimu kama vile mvuvi mpya, mnunuzi, mkusanyaji wa takwimu, mahali pa kutua, au spishi, takwimu inathibitishwa katika Smartsheet kabla ya kuwekwa kwenye jedwali ya mwisho ya takwimu na kuonyeshwa kwenye dashibodi. Viongozi wa wanaokusanya takwimu wanapewa taarifa kupitia barua pepe wakati takwimu inapokuwa tayari kwa uthibitishaji. Viongozi watathmini jedwali ya udhibiti wa ubora ili kuhakikisha kuwa habari mpya iliyowekwa ni sahihi."
step5,"Baada ya kuthibitisha, takwimu mpya inapelekwa kwenye faili za marejeleo na kurudishwa kwenye hifadhidata kwa ajili ya ubadilishaji wa mwisho kabla ya uchambuzi na taswira"
step6,"Baada ya takwimu kupelekwa kwenye faili za marejeleo, viongozi wa timu watapewa taarifa kupitia barua pepe ikiwa kuna habari zaidi inayohitajika kwenye faili za marejeleo"
step7,Faili za marejeleo zilizosasishwa kisha huwekwa kwenye jukwaa la KoboToolBox ili ziweze kujumuishwa katika fomu
step8,Takwimu iliyosasishwa kutoka kwenye faili za marejeleo pia hutumiwa katika mchakato wa kubadilisha data ili kuunganisha uga wa ziada wa takwimu kama vile vipimo na jinsia..
step9,Hatua za mwisho za mchakato wa ubadilishaji wa takwimu huleta jedwali kuu la matokeo ambayo hutumiwa kwa uchambuzi wa takwimu na taswira katika dashibodi za takwimu.
step10,"Dashibodi ya takwimu (yaani programu za Shiny) huunganishwa moja kwa moja na hifadhidata, zikitoa takwimu iliyosasishwa zaidi inayopatikana, hivyo kutoa washirika ufikiaji karibu wa takwimu halisi na takwimu iliyotolewa kwa muhtasari."
datasecurity,Usalama Wa takwimu
p18,Hapa chini ni orodha ya majukwaa ya programu ambapo takwimu inaweza kuhifadhiwa na kusafirishwa wakati inapotoka kwenye hifadhidata. Taarifa za usalama wa takwimu kwa kila jukwaa la nje zinapatikana kwenye tovuti maalum ya jukwaa iliyounganishwa hapa.
p19,"Taratibu za ziada za usalama zilitekelezwa, pamoja na hatua za usalama za data zilizotolewa na majukwaa ya programu hapo juu. Akaunti zote kwenye mifumo yote ya programu zinazotumiwa zinalindwa kwa nenosiri."
p20,"Tunatumia Github kama mfumo wetu wa udhibiti wa toleo kwa bidhaa zetu zilizoprogramiwa. Kwa chaguo-msingi, folda na miradi yote yenye takwimu za uvuvi na kiuchumi zinapatikana kwa faragha hufikiwa tu na wafanyakazi na wakandarasi."
p21,"Kutoka kwenye majukwaa yoyote ya takwimu yaliyosambazwa (k.m. Programu za Shiny), uthibitisho wa mtumiaji unahitajika ili kuona au kupakua takwimu, kulingana na makubaliano ya kushirikisha takwimu yaliyochaguliwa na kila shirika. Hii ni pamoja na kuthibitisha watumiaji kabla ya kuruhusu takwimu kuonekana au kupakuliwa, watumiaji kuingia kwenye majukwaa ya taswira ya data, na usimamizi wa kawaida wa watumiaji waliothibitishwa."
p22,"Upatikanaji wa nyaraka za Smartsheet (k.m. faili za marejeleo, jedwali uthibitishaji wa takwimu) umeruhusiwa tu kwa wafanyakazi waliothibitishwa na kila shirika, na kila mshirika anaweza kuona taarifa yao maalum ya mshirika pekee. Walioruhisiwa tena ni wafanyakazi ambao wanadhibiti na kusaidia mchakato wa ubora wa takwimu, na wafanyakazi wa Blue Ventures ambao wanaisaidia washirika na mchakato wa taarifa kwenye Smartsheet."
dp,Faragha Ya Takwimu
p24,"Maelezo ya kibinafsi yanayotambulika  na takwimu ya mapato ya uvuvi inamilikiwa na wavuvi na wanunuzi wa samaki na kamwe haitashirikishwa bila idhini ya awali. Ili kulinda faragha ya wavuvi, wanunuzi, na wakusanyaji wa takwimu, majina yote huwekwa kuwa nambari za kitambulisho zisizojulikana. Hivyo basi, takwimu yote iliyo kwa sehemu au kwa jumla itajumuisha nambari za kitambulisho zisizo na mpangilio. Tafadhali angalia sehemu kuhusu makubaliano ya kushiriki data kwa maelezo kamili kuhusu makubaliano ya kushiriki takwimu"
p25,Data inayohesabiwa kuwa Maelezo ya kibinafsi yanayotambulika (PII) ni pamoja NA:
point34,"Majina ya wavuvi, wanunuzi, na wachukua takwimu"
point35,Majina ya waliohojiwa kwa tafiti zozote
datasharing,Kushiriki Data
p26,"Mfumo wa data ya uvuvi umetengenezwa ili kuboresha matumizi ya takwimu yako na kutoa jukwaa kwa ushiriki wako wa moja kwa moja katika juhudi za usimamizi wa uvuvi na uhifadhi wa kina. Takwimu iliyokusanywa kwa ushirikiano kutoka kwa washirika inaweza kutoa ufahamu mkubwa kwa ufuatiliaji wa uvuvi, kutathmini mikakati ya usimamizi, kusaidia katika kufanya maamuzi kwenye viwango vya kijamii na kitaifa, kuelewa mabadiliko ya kikanda, na kutambua huduma za kifedha zinazowezekana."
p27,"Tunatambua umuhimu mkubwa wa umiliki na matumizi ya takwimu kwa washirika wote wanaochangia. Lengo letu ni kukupa uhuru wa kusimamia na kuamua jinsi takwimu yako inavyotumiwa. Kwa kuchagua moja ya viwango vitatu vya idhini ya matumizi ya takwimu, unaweza kusimamia kiwango ambacho takwimu yako inashirikishwa na watumiaji wengine. Unaweza kubadilisha viwango vya idhini kulingana na aina za takwimu, na muhimu zaidi, una uhuru wa kurekebisha kiwango cha idhini ya takwimu wakati wowote. Maelezo ya kibinafsi yanayotambulika (PII) na takwimu ya mapato ya uvuvi inamilikiwa na wavuvi na wanunuzi wa samaki na kamwe haitashirikishwa bila idhini ya awali. Kwa kuchagua kiwango cha idhini ya matumizi ya takwimu, unathibitisha kuwa idhini binafsi imetolewa na wavuvi na wanunuzi wa samaki."
p28,Data yote kwa sasa imewekwa kwenye Kiwango 1 - Binafsi. Watumiaji watapata fursa ya kurekebisha viwango vyao vya idhini kama inavyohitajika
level1,Kiwango Cha 1-Binafsi
point36,Takwimu ni kwa matumizi ya ndani tu ya mtoaji wa awali wa takwimu
point37,Takwimu zitapatikana kwa kupakuliwa na mtoaji wa awali wa takwimu.
point38,Takwimu hazitajumuishwa katika uchambuzi wa kikanda uliotolewa kwenye dashibodi.
point39,Kugawana au usambazaji usioidhinishwa wa takwimu kwa watu/mashirika ya nje ni marufuku kabisa.
level2,Kiwango cha 2-Shiriki Na Wachangiaji Wengine Wa Takwimu
point40,Takwimu ya ngazi inapatikana kwa washiriki wengine wa takwimu kupakua
point41,Muhtasari wa Takwimu na taswira zitapatikana kwa wachangiaji wengine.
point42,Takwimu zitajumuishwa katika uchambuzi wa kikanda kwenye dashibodi.
level3,Kiwango cha 3-Shiriki Na Watumiaji Wote
point43,Takwimu ya kiwango inapatikana kwa watumiaji wote kupakua.
