key,en
title,Fisheries Data Collection Guidance
subtitle,A guide for administering surveys to obtain fisheries data
intro,Introduction
p1,"This document provides guidance and recommendations for administering three survey instruments to capture information about fishing communities and the fisheries they rely on (Figure 1). The surveys were designed to align content with how the data will be used and expected frequency of change. The highest level survey, Community Profiling, contains questions that help to build a better understanding of fishing activity in the community and socioeconomic conditions. Understanding the socioeconomic landscape is especially important when work first begins in a community. The information collected during this survey is essential for designing community engagement strategies and data sampling plans. The Landings Profiling and Monitoring surveys collect data on catch landed by fisheries. The Landings Profiling data is collected less frequently and captures information on fishing habitat, gear type, effort, and length of individual fish. The Landings Monitoring survey, ideally conducted daily, is a rapid fisheries survey collecting the minimum amount of information needed to track catch volume and value changes, such as species, weight, count and price."
fig1,Figure 1: Timeline for administering the three different survey instruments on a one year scale.
survey,Survey Details
cps,Community Profiling Survey
goal,Goal
p2,Understand the general landscape of the community and the fisheries operating within the community.
dc,Data Collected
point1,"Number of community members, fishers, fish traders, women"
point2,General landscape of the fisheries operating within the community
point3,Gears used; species targeted; habitat fished; seasons; vessels
point4,Information on fishing effort and cost
point5,"Perceptions on fisheries and habitat conditions, threats"
point6,Information on current fisheries management/regulations
point7,"Identification (via mapping) of important fishing grounds, habitats, landing sites"
ta,Target Audience
p3,"10-20 key informants within the community, namely, community leaders, respected fishers, fish traders, and women."
ft,Frequency and Timing
p4,"When work begins in a new fishing community, conducting the Community Profiling Survey and the initial profiling exercise provides baseline data and relevant information to design conservation and management efforts most appropriate for the community. Repeating the Community Profiling Survey can help document significant changes occurring over time."
method,Methodology
p5,"Information can be gathered through third-party surveys (i.e, census, fisheries department records, etc), focus groups consisting of 10-20 key community members or key informants. Community leaders as well as a variety of knowledgeable and diverse fishers and fish traders (including women and young people) would be the ideal participants to include in the focus group. In facilitating the focus groups, it is recommended to have, at a minimum, a facilitator and a note-taker. At the focus group, it is also recommended to have participants provide a list of/contact information for fishers in the community who can then be contacted to administer the Household Surveys. If it is not possible to carry out the Community Profiling Survey in a focus group format, an alternative is to administer the same questions as individual surveys with key informants and pool the responses. Questions included in the community profiling survey and recommendations for conducting focus group discussions can be found in Appendix A below."
lms,Landings Monitoring Survey
p6,"Capture key data needed to calculate simple length-based indicators of fishery health and to track changes in fisheries production, value, and composition."
point8,Date landed
point9,Landing location
point10,Fish trader name
point11,Fisher name
point12,Fishing Effort (days fishing/gleaning)
point13,"Species identity (local, common, scientific names)"
point14,Total count
point15,Total weight
point16,Total price
point17,"Reason total catch not sold, if applicable"
p7,Fishers as they land their catch or at a fish buyers’ house/market.
p8,"The Landings Monitoring Survey should be conducted daily or as often as possible. Perform Landings Monitoring Surveys before and after implementation to evaluate the effects of fisheries closures or other management strategies. We recommend collecting data 30 days before and after temporary closure periods. For the first seven days of the sampling periods, we recommend that enumerators conduct Landings Monitoring Surveys daily. If possible, continue daily monitoring for the entire 30-day period. If this is not possible, survey at least 80% of days within each 30 days. We also recommend surveying 80% or more of all fishers landing catch on a particular day pre or post-closure. Distribute representative survey efforts between boat fishers and non-boat fishers. Collect data from all fishers landing in the village, regardless of whether or not they were fishing within the closure site."
p9,"For longer-term closures, ensure that data is collected during the same month for each year to capture change over the closure period. If that is not feasible, we recommend gathering data during the same month before and after the closure. As stated above, we recommend surveying at least 80% of the day within the month and 80% of fishers landing catch on each day."
p10,"Using the Kobo form, meet fishers at landing sites/buyers’ houses to record their catch."
lps,Landings Profiling Survey
p11,Understand observed catch trends.
point18,Date landed
point19,Landing location
point20,Primary fishing ground
point21,Fish trader name
point22,Fisher name
point23,Fishing Effort (hours and days fishing/gleaning)
point24,"Vessel type (boat registration number, number crew)"
point25,"Species identity (local, common, scientific names)"
point26,Gears used
point27,Habitat fished
point28,Total count
point29,Total weight
point30,Total price
point31,"Reason total catch not sold, if applicable"
point32,Samples of individual weights and lengths (Figures 2-8)
point33,"Partner-specific sample data (sex, catch quality, gonads, stylet, # traps, etc.)"
p12,"A representative sample of catch within the community. Record at least 50 samples (ideally 100) for each target species, representing various gear types and fisher profiles."
p13,"This survey should initially be conducted at the beginning of involvement in a community and subsequently performed every one to two years, before and after implementing the management strategy, or as needed to explain declines observed through monitoring data. Using the Kobo form, meet fishers at landing sites to sample their catch and record their fishing activity."
p14,"Using the Kobo form, meet fishers at landing sites to sample their catch and record their fishing activity."
ms,Measurement Standardization: Length type to measure by species group
fig2,"Figure 2: Total length should be used to measure finfish, sharks and eels (AFS)."
fig3,Figure 3: Width of disc should be used to measure rays and skates.
fig4,"Figure 4: Carapace width should be used when measuring crab (Suryandari et. al, 2018)."
fig5,Figure 5: Mantle length should be used when measuring octopus and squid (FAO).
fig6,Figure 6: Carapace length should be used when measuring shrimp and lobster (Hart et al. 2001).
fig7,Figure 7: Length should be used when measuring bivalves and gastropods.
fig8,Figure 8: Total length should be used when measuring sea cucumbers. The width or test diameter should be used when measuring sea urchins.
dfo,Data Flow Overview
p15,"Data collection, validation, transformation, and visualization are the four major components of the data system. The primary software applications used are KoboToolBox, Smartsheet, PostgreSQL, and R."
