key,fr
title,Directives sur la Pêche et la Collecte de Données Communautaires
subtitle,Un guide rapide pour les cadres et protocoles de collecte de données d'enquête KoboToolBox.
intro,Présentation
p1,Le guide rapide fournit des conseils étape par étape pour collecter et valider les données sur les pêches et les communautés via le système. Ces directives résument le processus de collecte des données et décrivent les protocoles de mise à jour des fichiers de référence et des tableaux de contrôle de la qualité.
p2,"Nous avons élaboré quatre formulaires d'enquête pour recueillir des données sur les débarquements de poissons et les communautés de pêcheurs. Des descriptions détaillées de l'enquête sont disponibles dans le guide complet en anglais, Bahasa Indonésien, Cebuano, Français, Tagalog, Swahili, Malgache, Espagnol, Portugais et Tetun."
p3,"L'Enquête de surveillance des débarquements recueille le minimum de données, idéalement quotidiennement ou aussi souvent que possible, nécessaires pour suivre les tendances à long terme de la production halieutique, de la composition des espèces et de la valeur des captures. Cette enquête peut aider à évaluer les effets des fermetures de pêcheries ou d'autres stratégies de gestion en comparant les données avant et après la mise en œuvre. L'enquête est courte et conviviale pour permettre une collecte de données plus fréquente et cohérente."
p4,"L'Enquête sur le profil des débarquements recueille des données détaillées sur les engins de pêche, l'effort et la taille de chaque poisson ou invertébré, ainsi que des informations spécialisées pour des groupes d'espèces spécifiques tels que le sexe, la qualité des captures, les données sur les stylets et la maturité des œufs. La qualité de capture de la pieuvre comprend les méthodes de stockage, la couleur, le nombre de tentacules, les abrasions physiques, la qualité du bec et les affections cutanées. Les données du stylet Octopus incluent des exemples de photos et la circonférence de croissance. Les données sur la maturité des œufs rendent compte du poids, de la couleur, du stade, de la longueur et de l'apparence des gonades dans les glandes ovariennes des poulpes femelles. Ces données complètent les données de surveillance des débarquements et aident les partenaires à mieux comprendre les tendances observées des prises dans la production halieutique et les effets de la gestion des pêches. Le relevé a été conçu pour être effectué au début de la participation à une communauté et par la suite tous les un à deux ans, avant et après la mise en œuvre de la stratégie de gestion, ou au besoin pour expliquer les changements dans les prises observés grâce aux données de surveillance."
p5,"L'Enquête de profilage communautaire permet de mieux comprendre le paysage socio-économique et halieutique d'une communauté. L'enquête est utilisée lors de la première interaction avec une communauté et répétée le cas échéant pour documenter les changements majeurs dans le comportement de pêche, les perceptions des pêcheurs et la gestion des ressources. La fréquence des enquêtes dépendra de la portée du projet (c'est-à-dire du moment où un changement devrait se produire)."
p6,"L'Enquête auprès des ménages de pêcheurs saisit des informations détaillées sur les ménages de pêcheurs, telles que les perceptions au niveau des ménages des activités liées à la pêche, les sources de revenus, les activités quotidiennes, les principales espèces de poissons capturées, la dépendance vis-à-vis du poisson pour se nourrir et les activités de pêche. L'enquête est utilisée lors de la première interaction avec une communauté et répétée tous les deux à cinq ans ou après des interventions de gestion pour documenter les changements dans le comportement de pêche, les perceptions des pêcheurs, l'efficacité de la gestion, la sécurité alimentaire, la confiance et l'équité entre les sexes."
steps,Étapes pour utiliser les formulaires KoboToolbox
