key,tet
title,Atualiza Files Referensia
p1,"Arkivu referénsia hotu-hotu atualiza iha Smartsheet Dynamic View. Arkivu referénsia sira serve hanesan inputs ba lista dropdown iha formuláriu KoboToolbox no kontein dadus ne'ebé aumenta ba dadus master liu husi konjuntu. Sira iha informasaun ne'ebé komprensivu kona-ba nivel administrativu komunidade peska sira (nasaun, provínsia, distritu, suku), fatin ba rai-maran, rai peska, peskadór, sosa-nain, koletor dadus, espésie, área jestaun, tipu sasán no organizasaun parseria sira. Pasu sira iha kraik esplika oinsá atu atualiza fail referénsia ho informasaun foun."
step1,Pasu 1: Halo konta ne'ebé livre.
point1,Bele kria konta gratuita ida iha https://www.smartsheet.com/
point2,"Hili ""Haree smart sheet ho gratuita"""
step2,Pasu 2: Fornese Blue Ventures (BV) diresaun e-mail ne'ebé uluk ita kria ita-nia konta smartsheet.
point3,BV sei fahe fail referénsia sira ne'ebé asosiadu ho ita-nia organizasaun.
point4,Atu haree ita-nia arkivu referénsia sira ita presiza asina iha smartsheet Dynamy View uza ita-nia kredensiál smartsheet: https://dynamicview.smartsheet.com/login
point5,"Bainhira tama tiha ona iha Vizaun dinámika (laos aplikasaun smartsheet), ita sei haree lista arkivu referénsia sira ne'ebé fahe ho ita-nia konta (Figura 1)."
fig1,Figura 1: Lista arkivu referénsia sira iha Vizaun dinámika
step3,Pasu 3: Klike iha fail referénsia atu halo atualizaun
point6,"Bainhira loke tiha, ita bele klike iha liña ida-idak atu halo edisaun ba dadus ne'ebé eziste, ka klike iha knotak ""New"" iha parte loos leten atu aumenta dadus foun (Figura 2)."
point7,"Painél detallu ida sei hatudu iha parte loos iha ne'ebé ita bele hatama informasaun ne'ebé presiza (Figura); Tabela 1). Hili ""save"" iha parte loos okos husi painél detallu bainhira ita remata atualiza."
point8,"Atu husik komentáriu ruma ka husu pergunta ruma ba ekipa, hili tabela ""Kordenador"" iha painél detallu. Ema hotu-hotu ne'ebé fahe fail referénsia, inklui ekipa BV, sei simu notifikasaun bainhira halo komentáriu, nune'e la presiza marka ema ida-idak."
fig2,Figura 2: Ezemplu vizaun husi admin2_ref iha Vizaun dinámika
fig3,Figura 3: Ezemplu vizaun husi painél detallu admin2_ref iha Vizaun dinámika
step4,"Pasu 4: Responde atu atualiza pedidu bainhira dadus lakon ka la loos, ka atu hatán ba komentáriu ruma."
point9,"Karik iha informasaun ne'ebé la kompletu ka la loos ne'ebé esensiál ba populasaun Kobo dropdowns ka ba konjuntu, ka karik halo komentáriu iha surat-tahan, sei haruka pedidu atualizasaun ba utilizadór apropriadu hotu-hotu, hodi fó lalais informasaun ne'e atu atualiza ka hatán ba komentáriu (Figura 4). Tuir loloos, ema hotu ne'ebé iha asesu ba ita-nia arkivu referénsia sei simu pedidu atualizasaun."
point10,"Prevee dadus ne'ebé presiza atualiza ka responde ba sei hatudu iha mensajen e-mail nia okos, maibé ita sei la bele atualiza dadus ruma diretamente iha e-mail"
point10.1,"Iha e-mail nia okos, iha ligasaun ba ""Ba iha surat-tahan""; maibé, surat-tahan ne'e limitadu ona. Favór haree fali ita-nia dadus ka hatán ba komentáriu liuhosi pedidu nakloke."
point11,"Klike iha knotak ""Open Request"" iha mensajen e-mail."
point12,Janela navegador internét foun sei loke ho setup hanesan formuláriu ba kada entrada (Figura 5)
point13,Halo revizaun ba kampu sira-ne'e no halo populasaun ba kampu sira ne'ebé edita.
point14,Klike tuir mai iha telemovel nia okos hodi muda liu husi kada entrada ne'ebé presiza atualiza.
point15,"Atu hasai tiha (hanesan se ita seidauk hatene resposta ida-ne'ebé atu hili) klike "" Tuirmai"" la halo selesaun iha koluna edivel sira. Sei haree mós informasaun tuirmai ne'ebé presiza atualiza."
point16,"Se ita presiza sai husi pájina ne'e ka para molok atualiza tiha ona, ita tenke salva ita-nia desizaun bainhira ita loke fali pedidu ne'e. Bainhira loke tiha ona, klike de'it "" Tuirmai"" to'o ita hetan informasaun ne'ebé presiza atualiza."
point17,"Bainhira ita haree informasaun ikus, klike iha ""Haree."" Mensajen pop-up sei mosu hodi husu se Ita-Boot mak ""Ready atu hato'o Ita-Boot nia atualizaun?"
point17.1,"Klike ""Ba kotuk"" se ita presiza haree fali"
point17.2,"Klike ""Haree Atualizasaun"" atu hato'o Ita-nia atualizaun."
point17.3,Ita-boot sira-nia atualizasaun automatikamente aplika ba arkivu referénsia no ita bele haree iha Vizaun dinámika
