key,en
title,Updating Reference Files
p1,"All reference files are updated in Smartsheet Dynamic View. Reference files serve as inputs for dropdown lists in KoboToolbox forms and contain data that is added to the master datasets through joins. They contain comprehensive information on the administrative levels of the fishing communities (country, province, district, village), landing sites, fishing ground, fishers, buyers, data collectors, species, management areas, gear types, and partnering organizations. The steps below outline how to update reference files with new information."
step1,Step 1: Create a free smartsheet account.
point1,A free account can be created at https://www.smartsheet.com/
point2,Select “Try smartsheet for free”
step2,Step 2: Provide Blue Ventures (BV) the email address you used to create your smartsheet account.
point3,BV will then share the reference files associated with your organization.
point4,To view your reference files you will need to sign into smartsheet Dynamic View using your smartsheet credentials: https://dynamicview.smartsheet.com/login
point5,"Once logged in to Dynamic View (not the smartsheet app), you will see a list of reference files shared with your account (Figure 1)."
fig1,Figure 1: List of reference files in Dynamic View
step3,Step 3: Click on a reference file to make updates
point6,"Once open, you can click on each row to make edits to existing data, or click the “New” button in the top right corner to add new data (Figure 2)."
point7,A details panel will appear on the right hand side where you’ll input the necessary information (Figure 3; Table 1). Select “save” on the bottom right of the details panel when you are finished updating.
point8,"To leave a comment or to ask the team any questions, select the “Comments” tab in the details panel. All individuals that the reference file is shared with, including the BV team, will receive notification when a comment is made, so there is no need to tag any particular individual."
fig2,Figure 2: Example view of the admin2_ref in Dynamic View
fig3,Figure 3: Example view of the admin2_ref details panel in Dynamic View
step4,"Step 4: Respond to update requests when data is missing or incorrect, or to respond to a comment."
point9,"If there is incomplete or incorrect information that is essential for populating Kobo dropdowns or for joins, or if a comment is made in the sheet, an update request will be sent to all appropriate users, prompting them to update the information or respond to a comment (Figure 4). By default, everyone with access to your reference files will receive the update request."
point10,"A preview of the data that needs to be updated or responded to will appear below the email message, but you will not be able to update any data directly in the email"
point10.1,"At the bottom of the email, there is a link for “Go to the sheet”; however, the underlying sheet has restricted access. Please review your data or respond to the comment via Open request."
point11,Click on the “Open Request” button in the email message.
point12,A new internet browser window will open with a form-like setup for each entry (Figure 5)
point13,Review the BV fields and populate the editable fields.
point14,Click next at the bottom of the screen to move through each entry that needs to be updated.
point15,To skip an entry (e.g. if you are not sure yet which answer to pick) click “Next” without making a selection in the editable columns. The next entry that needs to be updated will appear.
point16,"If you need to exit the page or stop before all entries have been updated, your choices should be saved the next time you reopen the request. Upon opening to continue, just click “Next” until you find an entry that needs to be updated."
point17,"When you get to the last entry, click “Done”. A pop-up message will appear asking if you are ‘Ready to submit your update?’:"
point17.1,Click “Go Back” if you need to review
point17.2,Click “Submit Update” to submit your updates.
point17.3,Your updates are automatically appended to the reference file and you can view them in Dynamic View
fig4,Figure 4: Example “Update Request” email when information needs to be corrected or comment needs to be responded to.
table1,"Table 1: The primary fields in each of the reference files. Field type “BV” is managed by Blue Ventures and is not editable. To request changes to any of the “BV” fields, please leave a comment. Only fields with field type “editable” can be edited. Field type “auto” is populated automatically."
t1.1,Field name
t1.2,Field description
t1.3,Field type
t1.4,All reference files
t1.5,"This column stores the last comment that was made for that row. To view the entire discussion of comments for that row, simply click anywhere on the row. The details panel will appear, like it does in Figure 3. Click on the “Comments” tab to view all comments for that row."
t1.6,auto
t1.7,editable
t1.8,Date of last edit
t1.9,User that made the last edit
t1.10,"ISO country code, which is an internationally recognized letter combination code"
t1.11,"Name of admin1, the highest administrative level after country (i.e. province) with no spaces and no punctuation, only underscores"
t1.12,"Name of admin1, the highest administrative level after country (i.e. province) with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.13,The flag will be red if the “partner” value does not exist in the org_ref
t1.14,"Partner name with no spaces and no punctuation, only underscores. The dropdown list is connected to the ""name"" column in the org_ref."
t1.15,"Select “Yes” if data is currently being collected from this individual/area. If data is no longer being collected from this individual/area, and you want to hide it from the Kobo dropdown, select “No.”"
t1.16,Choose “Yes” if you would like to remove the record. Records should only be removed if the name is incorrect or it is a duplicate of an existing record.
t1.18,"Name of admin2, the highest administrative level after admin1 (i.e. district) with no spaces and no punctuation, only underscores"
t1.19,"Name of admin2, the highest administrative level after admin1 (i.e. district) with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.20,The flag will be red if the “admin1_ref_name” value does not exist in the admin1_ref
t1.21,"Admin1 name with no spaces and no punctuation, only underscores. The dropdown list is connected to the ""name"" column in the admin1_ref."
t1.25,"Admin2 and admin3 names combined with no spaces and no punctuation, only underscores.The admin3 is the highest administrative level after admin2 (i.e. village)."
t1.26,"Name of admin3, the highest administrative level after admin2 (i.e. village) with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.27,Admin1 name with spaces and punctuation allowed. This is pulled from the admin1_ref and auto populated based on the admin2 chosen.
t1.28,"Admin1 name with no spaces and no punctuation, only underscores. This is pulled from the admin1_ref and auto populated based on the admin2 chosen"
t1.29,The flag will be red if the “admin2” value does not exist in the admin2_ref.
t1.30,"Admin2 name with spaces and punctuation allowed. The dropdown list is connected to the ""label"" column in the admin2_ref."
t1.31,"Admin2 name with no spaces and no punctuation, only underscores. This is pulled from the admin2_ref and auto populated based on the admin2 chosen."
t1.34,Latitude of admin3
t1.35,Longitude of admin3
t1.38.1,Select “Yes” if you want the admin3 to appear in the dropdown for the Kobo landings monitoring form.
t1.38.2,Select “Yes” if you want the admin3 to appear in the dropdown for the Kobo landings profiling form.
t1.38.3,Select “Yes” if you want the admin3 to appear in the dropdown for the Kobo community profiling form.
t1.38.4,Select “Yes” if you want the admin3 to appear in the dropdown for the Kobo household survey form.
t1.40,"Name of the buyer with no spaces and no punctuation, only underscores"
t1.41,"Name of the buyer with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.42,"Gender of the buyer; 'male', 'female', 'nonbinary' or 'business_nogender'"
t1.43,"The flag will be red if the buyer_gender value is different for the same buyer (i.e. if Raymond Scott in admin3= Boston has gender=male, but Raymond Scott in admin3=Miami has gender=female, the flag will be red because the genders are not the same for the same buyer)."
t1.44,"Admin1 name where the buyer buys from, with spaces and punctuation allowed. This is pulled from the admin1_ref and auto populated based on the admin3_ref_name chosen."
t1.45,"Admin2 name where the buyer buys from, with spaces and punctuation allowed. This is pulled from the admin2_ref and auto populated based on the admin3_ref_name chosen."
t1.46,"Admin3 name where the buyer buys from, with spaces and punctuation allowed. This is pulled from the admin3_ref and auto populated based on the admin3_ref_name chosen."
t1.47,"Admin2 and admin3 names combined with no spaces and no punctuation, only underscores.The dropdown list is connected to the ""name"" column in the admin3_ref."
t1.48,The flag will be red if the “admin3_ref_name” value does not exist in the admin3_ref.
t1.52,"Name of the fisher with no spaces and no punctuation, only underscores"
t1.53,"Name of the fisher with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.54,"Gender of the fisher; 'male', 'female', 'nonbinary' or 'business_nogender'"
t1.55,"The flag will be red if the fisher_gender value is different for the same fisher (i.e. if Raymond Scott in admin3= Boston has gender=male, but Raymond Scott in admin3=Miami has gender=female, the flag will be red because the genders are not the same for the same fisher)."
t1.56,"Admin1 name where the fisher lands their catch, with spaces and punctuation allowed. This is pulled from the admin1_ref and auto populated based on the admin3_ref_name chosen."
t1.57,"Admin2 name where the fisher lands their catch, with spaces and punctuation allowed. This is pulled from the admin2_ref and auto populated based on the admin3_ref_name chosen."
t1.58,"Admin3 name where the fisher lands their catch, with spaces and punctuation allowed. This is pulled from the admin3_ref and auto populated based on the admin3_ref_name chosen."
t1.64,"Name of the data collector with no spaces and no punctuation, only underscores"
t1.65,Name of the data collector with spaces and punctuation allowed.
t1.66,"Gender of the data collector; 'male', 'female', 'nonbinary' or 'business_nogender'"
t1.69,Select “Yes” if you want the data collector to appear in the dropdown for the Kobo landings monitoring form.
t1.70,Select “Yes” if you want the data collector to appear in the dropdown for the Kobo landings profiling form
t1.71,Select “Yes” if you want the data collector to appear in the dropdown for the Kobo household survey form
t1.72,Select “Yes” if you want the data collector to appear in the dropdown for the Kobo community profiling form
t1.75,"Name of the fishing ground with no spaces and no punctuation, only underscores"
t1.76,"Name of the fishing ground with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.81,Latitude of the fishing ground
t1.82,Longitude of the fishing ground
t1.85,"Local name of the gear with no spaces and no punctuation, only underscores"
t1.86,"Local name of the gear with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.87,"English name of the gear with no spaces and no punctuation, only underscores. This is a predefined dropdown list. Please choose one that best fits the local gear, or comment if you are unsure."
t1.88,Description of the gear
t1.89,"The species group the gear targets. If one gear targets multiple species, create a new row of data for each species group. The dropdown list is connected to the “species_group” column in the species_ref."
t1.90,The flag will be red if the “species_group” chosen does not exist in the species_ref.
t1.95,"Name of the landing site with no spaces and no punctuation, only underscores"
t1.96,Name of the landing site with spaces and punctuation allowed
t1.103,"Unique name of the management area with spaces and punctuation allowed. Please do not change the name unless absolutely necessary, as joins are based on this."
t1.104,"Unique name of the management area and effective  dates. More specifically, it contains the following information separated by an underscore: management_id, management_method, close_date and open_date."
t1.104.1,The list of admin3s that fish within the management area.
t1.104.2,The flag will be red if one of the admin3s listed in the “admin3_fish” column does not exist in the admin3_ref.
t1.104.3,The list of admin3s that have a role in governing the management event.
t1.104.4,The flag will be red if one of the admin3s listed in the “admin3_govern” column does not exist in the admin3_ref.
t1.105,The list of fishing grounds associated with the management event. The dropdown list is connected to the “name” column in the fishing_ground_ref.
t1.105.5,The flag will be red if one of the fishing grounds listed in “management_fishing_ground” does not exist in the fishing_ground_ref.
t1.106,"The type of management method utilized during the event. The predefined list includes: Temporary Closure, No Take Zone, Gear Restriction, Managed Access, Harvesting Ban or Deforestation Ban."
t1.106.1,"The type of legal regulation. The predefined list includes: village head regulation, village head decree, joint village head regulation or none."
t1.106.2,"Target species group for the managed area. This can include ‘All’, one or multiple species groups. The dropdown list is connected to the MASTER species_ref and includes species groups from all partners."
t1.107,"Target species for the managed area. This can include ‘All_species’, one or multiple scientific species. The dropdown list is connected to the MASTER species_ref and includes species from all partners."
t1.107.1,The flag will be red if the “target_species” chosen is not referenced in the partner’s species_ref.
t1.108,"Target habitat for the managed area. The predefined dropdown list includes the habitat choices: 'reef, seagrass, mangrove, mud_flat, sand, deepwater or other'."
t1.109,Size of the managed area measured in hectares (ha)
t1.110,Closing date of the managed area; MM/DD/YY
t1.111,Opening date of the managed area; MM/DD/YY
t1.112,Latitude of management area
t1.113,Longitude of management area
t1.116,"Name of the partner/organization with no spaces and no punctuation, only underscores"
t1.117,"Name of the partner/organization with spaces and punctuation allowed. Please do not change the label unless absolutely necessary, as joins are based on this."
t1.118,The species groups the partner collects data on. The dropdown list is connected to the “species_group” column in the species_ref. Select all groups if they want all species in the species_ref to show up.
t1.122,"Partner name with no spaces or punctuation, only underscores. Species dropdowns are filtered by the partner. Some countries have multiple partners that share a species list. In that case, you will see the country code instead of the partner, and the entire species list will show for every partner in that country, unless certain species groups are specified in the “species_group” column in the org_ref."
t1.123,Habitat type associated with the species
t1.124,"Local name and species name combined with an underscore, with no other punctuation or spaces."
t1.125,Local name with species name in parenthesis
t1.126,"Species categorized into groups based on their biology with no spaces or punctuation, only underscores. This field is used to help filter certain answer choices in Kobo."
t1.127,"The flag will be red if the “species_group” chosen is not referenced in the gear_ref. That means all gears listed in the gear_ref will appear for this species group. To only show gears that target this species group, please add the species group to the gear_ref."
t1.128,Local species name with spaces and punctuation allowed
