key,mg
title,Fanavaozana Ny Rakitra Referansa
p1,"Ny rakitra referansa rehetra dia havaozina ao Amin'ny Smartsheet Dynamic View. Ny rakitra referansa dia miasa ho toy ny fidirana ho an'ny lisitra ""dropdown"" amin'ny endrika KoboToolbox ary misy angona izay ampiana amin'ny angon-drakitra amin'ny alàlan'ny fidirana. Ahitana fampahalalana feno momba ny ambaratonga ara-pitantanana ny vondrom-piarahamonina mpanjono (firenena, faritany, distrika, vohitra), toerana fiantsonana, toeram-panjonoana, mpanjono, mpividy, mpanangona antotan'isa, karazany, faritra fitantanana, karazana fitaovana ary fikambanana mpiara-miasa. Ireo dingana etsy ambany dia mamaritra ny fomba fanavaozana ireo rakitra referansa miaraka amin'ny fampahalalana vaovao."
step1,"Dingana 1: Mamorona kaonty ""smartsheet"" maimaim-poana."
point1,Azo atao ny mamorona kaonty maimaimpoana ao amin'ny https://www.smartsheet.com/
point2,"Safidio ny""Try smartsheet for free"""
step2,Dingana 2: Omeo ny Blue Ventures (BV) ny adiresy mailaka nampiasanao hamoronana ny kaontinao smartsheet.
point3,BV dia hizara ireo rakitra fanondroana mifandraika amin'ny fikambananao.
point4,Raha te hijery ireo rakitra fanovozan-kevitra dia mila miditra amin'ny Smartsheet Dynamic View ianao amin'ny fampiasana ny mari-pahamantarana smartsheet anao: https://dynamicview.smartsheet.com/login
point5,Raha vao tafiditra Ao Amin'ny Dynamic View (fa tsy ny fampiharana smartsheet) dia hahita lisitry ny rakitra referansa zaraina amin'ny kaontinao ianao (Sary 1).
fig1,Sary 1: Lisitry ny rakitra referansa Ao Amin'ny Dynamic View
step3,Dingana 3: Tsindrio ny rakitra referansa hanaovana fanavaozana
point6,"Rehefa misokatra dia azonao atao ny manindry ny laharana tsirairay mba hanovana ny angon-drakitra efa misy, na tsindrio ny bokotra ""Vaovao"" eo amin'ny zoro ambony havanana raha hanampy angona vaovao (Sary 2)."
point7,"Ny tontonana antsipiriany dia hiseho eo amin'ny ilany havanana izay hampidiranao ny fampahalalana ilaina (Sary 3; Tabilao 1). Safidio ny"" save "" eo amin'ny farany ambany ankavanan'ny tontonana details rehefa vita ny fanavaozana."
point8,"Raha hamela fanehoan-kevitra na hametraka fanontaniana amin'ny ekipan'ny BV, safidio ny tabilao ""Comments"" ao amin'ny tontonana antsipirihany. Ireo olona rehetra izay zaraina amin'ny rakitra referansa, anisan'izany ny Ekipan'ny BV, dia hahazo fampandrenesana rehefa misy fanehoan-kevitra, ka tsy ilaina ny manisy marika olona manokana."
fig2,"Sary 2: Ohatra fijerena momba ny admin2_ref Amin'ny ""Dynamic View"""
fig3,Sary 3: ohatra ny fijerena ny tontonana antsipirihany ny admin2_ref amin'ny Dynamic View
step4,"Dingana 4: Famaliana ny fangatahana fanavaozana rehefa tsy hita na diso ny angona, na hamaly ny fanehoan-kevitra."
point9,"Raha misy fampahalalana tsy feno na diso izay tena ilaina amin'ny fametrahana Ny ""list dropdowns"" ao amin'ny Kobo na raha misy fanehoan-kevitra atao ao amin'ny takelaka, dia halefa any amin'ny mpampiasa voakasika rehetra ny fangatahana fanavaozana, ka manosika azy ireo hanavao ny vaovao na hamaly ny fanehoan-kevitra (Sary 4). Ny olona rehetra manana fidirana amin'ny rakitra referansa dia hahazo ny fangatahana fanavaozana."
point10,"Ny fijerena mialoha ny antotan'isa mila havaozina na valiana dia hiseho eo ambanin'ny hafatra mailaka, saingy tsy ho afaka hanavao ny angona mivantana amin'ny mailaka ianao"
point10.1,"Eo amin'ny farany ambany amin'ny mailaka, misy rohy mankany amin'ny ""Go to the sheet""; na izany aza, voafetra ny fidirana amin'ny takelaka fototra. Azafady mba avereno jerena ny angon-drakitrao na valio Ny fanehoan-kevitra Amin'ny Alàlan'ny ""Open request""."
point11,"Tsindrio ny bokotra"" Open Request "" ao amin'ny hafatra mailaka."
point12,"Hisokatra ny ""onglet"" vaovao miaraka amin'ny karazana endrika tsirairay (Sary 5)"
point13,Avereno jerena ireo saha BV ary fenoy ireo saha azo ovaina.
point14,"Tsindrio ""next"" eo amin'ny farany ambany amin'ny efijery mba hivezivezy amin'ny fidirana tsirairay izay mila havaozina."
point15,"Mba hialana amin'ny fidirana (ohatra, raha mbola tsy azonao antoka izay valiny hofidiana) tsindrio ""Next"" ka tsy manao safidy ao amin'ny tsanganana azo ovaina. Hiseho ny fidirana manaraka izay mila havaozina."
point16,"Raha mila mivoaka ny pejy ianao na mijanona alohan'ny hanavaozana ny fidirana rehetra dia tokony hotehirizina ny safidinao amin'ny fotoana hanokafanao indray ny fangatahana. Rehefa manokatra hanohy dia tsindrio fotsiny Ny ""Next"" mandra-pahitanao fidirana mila havaozina."
point17,"Rehefa tonga amin'ny fidirana farany ianao dia tsindrio ""Done"". Hisy hafatra mipoitra hanontany raha Toa ianao ka 'Vonona ny handefa ny fanavaozanao?’:"
point17.1,"Tsindrio ""Go Back"" raha mila hanamarina ianao"
point17.2,"Kitiho ny ""Submit Update"" mba handefasana ny fanavaozanao."
point17.3,Ny fanavaozanao dia ampidirina ho azy amin'ny rakitra referansa ary azonao jerena ao amin'ny Dynamic View
fig4,"Sary 4: Ohatra ""Update Request"" mailaka rehefa mila ahitsy ny fampahalalana na mila valiana ny fanehoan-kevitra."
table1,"Tabilao 1: ny saha voalohany ao amin'ny rakitra referansa tsirairay. Ny karazana saha ""BV"" dia tantanan'ny Blue Ventures ary tsy azo ovaina. Mba hangataka fanovana amin'ny iray amin'ireo saha ""BV"", azafady avelao ny fanehoan-kevitra. Ny saha misy karazana saha ""azo ovaina"" ihany no azo ovaina. Ny karazana saha ""auto"" dia mipetraka ho azy."
t1.1,Anaran'ny saha
t1.2,Famaritana ny saha
t1.3,Karazana saha
t1.4,Ny rakitra referansa rehetra
t1.5,"Ity tsanganana ity dia mitahiry ny fanehoan-kevitra farany natao ho an'io laharana io. Raha hijery ny fifanakalozan-kevitra manontolo momba ny fanehoan-kevitra momba an'io laharana io, tsindrio fotsiny na aiza na aiza eo amin'ny laharana. Hiseho ny tontonana antsipiriany, toy ny Hita Ao amin'ny Sary 3. Tsindrio ny tabilao"" Comments "" raha hijery ny fanehoan-kevitra rehetra momba an'io laharana io."
t1.6,Mandeha ho azy
t1.7,azo ovaina
t1.8,Daty fanovana farany
t1.9,Mpampiasa nanao ny fanovana farany
t1.10,"""ISO country code"", izay kaody fampifangaroana litera ekena iraisam-pirenena"
t1.11,"Anaran'ny admin1, ny ambaratonga ambony indrindra amin'ny fitantanana aorian'ny firenena (izany hoe faritany) tsy misy elanelana sy tsy misy mari-piatoana, fa tsipika ambany fotsiny"
