key,fil
subtitle1,Pangkalahatang Impormasyon
q1,Bansa
q2,Asosasyon
q3,Probinsyang datingan
q4,Municipio datingan
q5,Barangay na datingan
q6,Pangalan ng data kolektor
a1,*Bagong pangalan ng data kolektor*
q7,Pitsa kung kailan dadating
subtitle2,Impormasyong huli ng mangingisda
q8,Pangalan ng mangingisda
a2,*Bagong Pangalan ng mangingisda*
q9,Kasarian ng mangingisda
q10,Nakatira ba ang mangingisda sa ${admin3_label}?
q11,Lalawigan kung saan nagmula ang mangingisda:
q12,Distrito kung saan nagmula ang mangingisda:
q13,Nayon kung saan nagmula ang mangingisda:
q13.5,Ang mangingisda ba ay itinuturing na lokal o migranteng mangingisda?
a8.1,Lokal
a8.2,Migrante
q14,Bilang ng mga araw na aktibong nangingisda (hindi kasama ang orasa sa pag lalakbay)
q15,Pangalan ng lugar kung saan darating
a8.5,*Bagong pangalan ng lugar kung saan darating*
q15.5,"Ibinenta ba ang nahuling isda, at kung oo, kanino?"
q16,Pangalan ng mamimili (kilala)
a9,*Bago pangalan ng mamimili*
q17,Kasarian ng mamimili
q18,Ang huli ba ay naitala ang buong huli mula sa bangka o ${fisher_id_label} bahagi ng huli?
subtitle3,Uri ng mga isda na dumarating ${fisher_id_label}
q19,Uri ng huli
q20,Lokal na pangalan ng Uri (Gamit ang sanggunian kard kung kailangan)
a12,Mangyaring tukuyin ang mga espisye sa magkahalong bag (pumili ng maramihan)
a13,*Bagong uri sa lokal na pangalan ( kung Alam)*
q21,*Bagong uri sa karaniwang pangalan sa Ingles (kung alam)*
q22,*Bagong uri sa siyentipikong pangalan ng pamilya (kung alam)*
q23,*Bagong uri sa siyentipiko uring pangalan (kung alam)*
q24,*Magdagdag ng larawan kung merong bago*
q25,Bigat ng bawat huli
q26,Kabuuang timbang na nakarating (${weight_unit}): ${local_name_label}
q27,Kabuuang timbang na naibinta (tinatansya o aktuwal): ${local_name_label}
q27.1,Piliin ang mamimili kung kanino ibinenta ang huli:
q28,Kabuuang bilang na nakarating: ${local_name_label}
q29,Pinoproseso mo ba itong huli?
q30,"Kabuuang presyo na naibinta, lokal na pera (tinatansya o aktuwal): ${local_name_label}"
q31,Dahilan kung bakit hindi naibinta ang mga huli
a27,Hindi magandang kalidad
a28,Masyadong maliit
a29,Masyadong malaki
a30,Tinatago para sa sarili
a31,Iba pa
a14,Kilo (kg)
a15,Gramo (g)
a16,Libra (lbs)
a17,ounce (oz)
a3,Lalaki
a4,Babae
a5,Hindi pagkasunod-sunod
a6,Negosyong binubuo ng maraming tao (walang kasarian)
a7,Oo
a8,Hindi
a10,Lahat ng Huli
a11,Ang bahagi ng mangingisda
a23,Hindi
a24,Tuyo
a25,Asin
a26,Usok
a18,Buo
a19,Malinis na isda papuntang merkado/Bahagyang naproseso
a20,Walang buto
a21,Buntot
a22,Palikpik
a32,Pangkonsumo para sa sarili
a33,Lokal na Pamilihan
a34,"Ahente (Tagapamagitan sa Kalakalan, Negosyante)"
a35,Tagaproseso
a36,Eksportador
a37,Tindahan o Pamilihan sa tingian
a38,"Konsyumer (Kaibigan, Kapitbahay)"
a39,"Institusyonal na Mamimili (Pamahalaan, NGO)"
star,Nalalapat lamang sa mga itinalagang kasosyo o bansa.
question,Tanong
answer,Mga Pagpipilian sa Sagot
