key,sw
subtitle1,Habari za jumla
q1,Nchi
q2,Shirika
q3,Kaunti 1 Kutua
q4,Kaunti Ndogo 2 Kutua
q5,Kijiji/BMU 3 cha Kutua
q6,Jina la anayechukuwa takwimu
a1,*Jina la mchukuwa takwimu mpya*
q7,Tarehe ya kuwasili bandarini
subtitle2,Habari ya mapato kwa kila mvuvi
q8,Jina la mvuvi
a2,*Jina la mvuvi mpya*
q9,*Jinsia ya mvuvi*
q10,"Je, mvuvi anaishi humo ${admin3_label}?"
q11,Msimamizi 1 ambapo mvuvi anatoka:
q12,Msimamizi 2 ambapo mvuvi anatoka:
q13,Msimamizi 3 ambapo mvuvi anatoka:
q14,Ni saa ngapi kwa siku ulikuwa ukivua au kukusanya masalio? (bila kujumuisha wakati wa kusafiri)
q15,Ulikuwa ukivua au kuvuna kwa siku ngapi? (bila kujumuisha wakati wa kusafiri)
q16,Jina la bandari
a8.9,
q17,Eneo la msingi la uvuvi
a9,*Jina la eneo la uvuvi jipya*
q18,Jina la mnunuzi (ikiwa linajulikana)
a10,*Jina la mnunuzi mpya*
q19,*Jinsia ya mnunuzi*
subtitle3,Habari za chombo
q20,Aina ya chombo:
q21,Nambari ya usajili ya boti/chombo (si lazima):
q22,Idadi ya wavuvi kwenye mashua moja
q23,"Je, ${fisher_id_label} ${fisher_name_new} ndiye nahodha?"
q24,"Tafadhali chagua wavuvi wengine kwenye chombo, BILA kumjumuisha mvuvi mkuu ${fisher_id_label}: ${fisher_name_new}"
q25,Tafadhali tambua jina la mvuvi mpya:
q26,Tafadhali chagua nahodha:
q27,"Je, samaki waliovuliwa wanarekodiwa kuwa ni samaki wote kutoka kwenye mashua au ${fisher_id_label} sehemu ya  samaki hao?"
subtitle4,Aina ya samaki zilizotua bandarini ${fisher_id_label}
q28,Aina ya mapato
q29,"Jina la kiswahili la aina ya samaki (tumia kadi ya kumbukumbu ya spishi, ikiwa inahitajika)"
a19,Tafadhali bainisha kila aina katika mchanganyiko (chagua nyingi)
q30,*Aina Mpya ya samaki: Kundi la Aina*
a18,*Jina la kiswahili ya Aina Mpya *
q31,*Jina la Kawaida la kingereza ya Aina Mpya (kama linajulikana)*
q32,*Jina la kisayansi la Familia ya aina mpya (ikiwa inajulikana)*
q33,*Jina la kisayansi ya Aina Mpya (ikiwa linajulikana)*
q34,*Ongeza picha ya aina mpya.*
q35,Jina la kiswahili la zana ya kuvua
q36,"Je, unatumia mkuki kwa njia gani?"
q37,Uliweka mitego mingapi?
q38,Aina ya maeneo ya makazi yaliyovuliwa
q39,"Je, unavua wakati wa maji kujaa au maji kuondoka?"
q40,"Tafadhali eleza samaki wasiolengwa waliovuliwa, au aina nyingine zilizokamatwa."
q41,Kuweka wakati (saa)
q42,"Je, unatumia chambo?"
q43,Chambo kinachotumika (aina/aina):
q44,Chambo/uzito wa lishe (kg)
subtitle5,Taarifa za Aina ya samaki
q45,Aina zote
q46,Kitengo cha uzito wa mapato
q48,Jumla ya idadi ya mapato/waliovuliwa
q50,"Je, unachata mapato haya ya uvuvi?"
q51,"Bei kwa jumla ya samaki waliouzwa, sarafu ya nchi  (iliyokadiriwa au halisi)"
q52,Sababu ya jumla ya samaki kutonunuliwa/kuuzwa
