key,es
title,Actualización de Archivos de Referencia
p1,"Todos los archivos de referencia se actualizan en la vista dinámica de Smartsheet. Los archivos de referencia sirven como entradas para las listas desplegables en los formularios de KoBoToolbox y contienen datos que se agregan a los conjuntos de datos maestros a través de uniones. Contienen información completa sobre los niveles administrativos de las comunidades pesqueras (país, provincia, distrito, aldea), sitios de desembarque, caladeros, pescadores, compradores, recolectores de datos, especies, áreas de manejo, tipos de artes y organizaciones asociadas. Los pasos a continuación describen cómo actualizar los archivos de referencia con nueva información."
step1,Paso 1: Cree una cuenta gratuita de smartsheet.
point1,Se puede crear una cuenta gratuita en https://www.smartsheet.com/
point2,"Seleccione ""Pruebe smartsheet de forma gratuita""."
step2,Paso 2: Proporcione a Blue Ventures (BV) la dirección de correo electrónico que utilizó para crear su cuenta de smartsheet.
point3,BV luego compartirá los archivos de referencia asociados con su organización.
point4,"Para ver sus archivos de referencia, deberá iniciar sesión en la vista dinámica de smartsheet con sus credenciales de smartsheet: https://dynamicview.smartsheet.com/login"
point5,"Una vez que inicie sesión en la Vista dinámica (no en la aplicación de smartsheet), verá una lista de archivos de referencia compartidos con su cuenta (Figura 1)."
fig1,Figura 1: Lista de archivos de referencia en la vista dinámica
step3,Paso 3: Haga clic en un archivo de referencia para realizar actualizaciones
point6,"Una vez abierto, puede hacer clic en cada fila para realizar ediciones en los datos existentes, o hacer clic en el botón ""Nuevo"" en la esquina superior derecha para agregar nuevos datos (Figura 2)."
point7,"Aparecerá un panel de detalles en el lado derecho donde ingresará la información necesaria (Figura 3; Tabla 1). Seleccione ""guardar"" en la parte inferior derecha del panel de detalles cuando haya terminado de actualizar."
point8,"Para dejar un comentario o hacer cualquier pregunta al equipo de BV, seleccione la pestaña ""Comentarios"" en el panel de detalles. Todas las personas con las que se comparte el archivo de referencia, incluido el equipo de BV, recibirán una notificación cuando se haga un comentario, por lo que no es necesario etiquetar a ninguna persona en particular."
fig2,Figura 2: Vista de ejemplo de admin2_ref en Vista dinámica
fig3,Figura 3: Vista de ejemplo del panel de detalles admin2_ref en la Vista dinámica
step4,"Paso 4: Responda a las solicitudes de actualización cuando falten datos o sean incorrectos, o para responder a un comentario."
point9,"Si hay información incompleta o incorrecta que es esencial para completar los menús desplegables de Kobo o para unirse, o si se hace un comentario en la hoja, se enviará una solicitud de actualización a todos los usuarios apropiados, pidiéndoles que actualicen la información o respondan a un comentario (Figura 4). De forma predeterminada, todas las personas con acceso a sus archivos de referencia recibirán la solicitud de actualización."
point10,"Aparecerá una vista previa de los datos que deben actualizarse o responderse debajo del mensaje de correo electrónico, pero no podrá actualizar ningún dato directamente en el correo electrónico"
