key,ceb
title,Update Sa Pakisayran Files
p1,"Ang tanan nga mga reference file nga updated Sa Smartsheet Dinamikong Panglantaw. Ang mga reference nga mga file nagsilbing mga input alang sa mga lista sa dropdown sa mga porma sa KoboToolbox ug adunay mga datos nga gidugang sa master datasets pinaagi sa mga pag-apil. Naglangkob sila sa komprehensibo nga kasayuran sa lebel sa administratiba sa mga komunidad sa pangisda (nasud, lalawigan, distrito, baryo), mga landing site, yuta sa pangisda, mangingisda, pumapalit, data collector, mga espisye, mga lugar sa pagdumala, mga tipo sa gear, ug mga organisasyon sa pakigtambayayong. Ang mga lakang sa ubos naglatid kon unsaon pag-update sa mga reference nga mga file uban sa bag-ong impormasyon."
step1,Lakang 1: paghimo usa ka libre nga account sa smartsheet.
point1,Ang usa ka libre nga account mahimong ma-access https://www.smartsheet.com/
point2,"Pagpili ""Sulayi smartsheet alang sa free"""
step2,Lakang 2: Paghatag Og Blue Ventures (BV) ang email address nga imong gigamit sa paghimo sa imong smartsheet account.
point3,BV nga nagtiniil dayon ipaambit ang mga pakisayran nga mga file nga may kalabutan sa imong organisasyon.
point4,Aron sa pagtan aw sa imong pakisayran files kamo kinahanglan nga mopirma ngadto sa smartsheet Dinamikong Panglantaw sa paggamit sa imong smartsheet credentials: https://dynamicview.smartsheet.com/login
point5,"Sa higayon nga logged sa Dinamikong Panglantaw (dili ang smartsheet app), imong makita ang usa ka listahan sa mga pakisayran files mipakigbahin uban sa imong account (Figure 1)."
fig1,Figure 1: Listahan sa mga pakisayran nga mga file sa Dinamikong Panglantaw
step3,Lakang 3: I-Klik ang usa ka reperensiya file sa paghimo sa updates
point6,"Sa higayon nga maablihan, mahimo ka mag-klik sa matag laray aron mahimo ang pag-edit sa adunay na nga datos, o i-klik ang ""Bag-ong"" button sa taas nga tuo nga suok aron makadugang bag-ong datos (Figure 2)."
point7,"Ang usa ka panel sa detalye makita sa tuo nga bahin diin imong i-input ang gikinahanglan nga kasayuran (Numero 3; Lamesa 1). Pilia ang"" save "" sa ubos nga tuo sa panel sa mga detalye kung nahuman na nimo ang pag-update."
point8,"Sa pagbiya sa usa ka comment o sa pagpangutana team sa bisan unsa nga mga pangutana, pagpili sa ""Comments"" tab sa mga detalye panel. Ang tanan nga mga indibidwal nga ang pakisayran nga file gipaambit, lakip ang BV team, makadawat pahibalo kung gihimo ang usa ka komentaryo, busa dili kinahanglan nga tag bisan unsang partikular nga indibidwal."
